Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Volume(t-9),Volume(t-10),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),Close(t-9),Close(t-10),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),reportedEPS(t-9),reportedEPS(t-10),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),surprise(t-9),surprise(t-10),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Value(t-9),Value(t-10),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),Headline_score(t-9),Headline_score(t-10),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),RSI(t-9),RSI(t-10),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),InsiderFlow(t-9),InsiderFlow(t-10),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),sentiment(t-9),sentiment(t-10)
2023-08-28,16050400.0,0.005997024652199867,1.21,1.3799651382430322,83.0,0.04981013550423086,70.08184355104311,0.0015869803518007706,-10,14912100.0,18561400.0,15766400.0,21730300.0,27074400.0,21718100.0,19128000.0,17395100.0,15528600.0,17934000.0,-0.0008988194439776276,0.005724689643317626,-0.0003012691557275904,0.006060629178787691,-0.0054249639404549965,0.0036297316066331575,-0.006311965182157708,0.0003007257006846231,-0.008939303919059949,0.005995226595938652,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.4890957010029149,1.5289338402952561,1.5706750750456335,1.6144305651077147,1.6603160531135075,1.8119603760828717,1.8675802881338182,1.9259359360843937,1.9871371366868469,2.0512799999999998,32.25,75.0,78.0,65.0,84.0,33.75,100.0,89.0,80.0,88.0,0.03381220578982417,0.017814276075417485,0.001816346361010801,0.1013925194150943,0.2009686924691778,0.30054486552326126,0.4001210385773447,0.4996972116314282,-2.3534288629889488e-05,-0.4961811254033819,67.982338728216,66.23928140440245,52.509588249732566,47.88734853727627,42.18183432344616,36.02485943763551,34.60327917414227,45.906466667414065,37.14287271267579,41.50001239745127,0.002032604929094207,0.002229113170536078,0.002455178431638807,0.0027118332139062233,0.0029947188027212002,0.00376063603970969,0.00383511131,0.0013863860315864126,0.0014853940730769231,0.001598117146305573,-7.0,-3.0,-4.0,1.0,1.0,-5.0,-9.0,-7.0,-1.0,-2.0
2023-08-29,28782800.0,0.03397911819739696,1.21,1.3467312979824586,94.0,0.6625189751377749,78.77894694681822,0.0014750428115384614,-8,16050400.0,14912100.0,18561400.0,15766400.0,21730300.0,27074400.0,21718100.0,19128000.0,17395100.0,15528600.0,0.005997024652199867,-0.0008988194439776276,0.005724689643317626,-0.0003012691557275904,0.006060629178787691,-0.0054249639404549965,0.0036297316066331575,-0.006311965182157708,0.0003007257006846231,-0.008939303919059949,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.3799651382430322,1.4890957010029149,1.5289338402952561,1.5706750750456335,1.6144305651077147,1.6603160531135075,1.8119603760828717,1.8675802881338182,1.9259359360843937,1.9871371366868469,83.0,32.25,75.0,78.0,65.0,84.0,33.75,100.0,89.0,80.0,0.04981013550423086,0.03381220578982417,0.017814276075417485,0.001816346361010801,0.1013925194150943,0.2009686924691778,0.30054486552326126,0.4001210385773447,0.4996972116314282,-2.3534288629889488e-05,70.08184355104311,67.982338728216,66.23928140440245,52.509588249732566,47.88734853727627,42.18183432344616,36.02485943763551,34.60327917414227,45.906466667414065,37.14287271267579,0.0015869803518007706,0.002032604929094207,0.002229113170536078,0.002455178431638807,0.0027118332139062233,0.0029947188027212002,0.00376063603970969,0.00383511131,0.0013863860315864126,0.0014853940730769231,-10.0,-7.0,-3.0,-4.0,1.0,1.0,-5.0,-9.0,-7.0,-1.0
2023-08-30,15021400.0,-0.0014413156263869409,1.21,1.3149230769230769,82.0,0.5814264199535601,75.47158720570229,0.001376724727110831,-4,28782800.0,16050400.0,14912100.0,18561400.0,15766400.0,21730300.0,27074400.0,21718100.0,19128000.0,17395100.0,0.03397911819739696,0.005997024652199867,-0.0008988194439776276,0.005724689643317626,-0.0003012691557275904,0.006060629178787691,-0.0054249639404549965,0.0036297316066331575,-0.006311965182157708,0.0003007257006846231,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.3467312979824586,1.3799651382430322,1.4890957010029149,1.5289338402952561,1.5706750750456335,1.6144305651077147,1.6603160531135075,1.8119603760828717,1.8675802881338182,1.9259359360843937,94.0,83.0,32.25,75.0,78.0,65.0,84.0,33.75,100.0,89.0,0.6625189751377749,0.04981013550423086,0.03381220578982417,0.017814276075417485,0.001816346361010801,0.1013925194150943,0.2009686924691778,0.30054486552326126,0.4001210385773447,0.4996972116314282,78.77894694681822,70.08184355104311,67.982338728216,66.23928140440245,52.509588249732566,47.88734853727627,42.18183432344616,36.02485943763551,34.60327917414227,45.906466667414065,0.0014750428115384614,0.0015869803518007706,0.002032604929094207,0.002229113170536078,0.002455178431638807,0.0027118332139062233,0.0029947188027212002,0.00376063603970969,0.00383511131,0.0013863860315864126,-8.0,-10.0,-7.0,-3.0,-4.0,1.0,1.0,-5.0,-9.0,-7.0
2023-08-31,24333200.0,0.009815247072495037,1.21,1.2844606257576394,82.0,0.5003338647693454,75.47158720570229,0.001289887520092279,0,15021400.0,28782800.0,16050400.0,14912100.0,18561400.0,15766400.0,21730300.0,27074400.0,21718100.0,19128000.0,-0.0014413156263869409,0.03397911819739696,0.005997024652199867,-0.0008988194439776276,0.005724689643317626,-0.0003012691557275904,0.006060629178787691,-0.0054249639404549965,0.0036297316066331575,-0.006311965182157708,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.3149230769230769,1.3467312979824586,1.3799651382430322,1.4890957010029149,1.5289338402952561,1.5706750750456335,1.6144305651077147,1.6603160531135075,1.8119603760828717,1.8675802881338182,82.0,94.0,83.0,32.25,75.0,78.0,65.0,84.0,33.75,100.0,0.5814264199535601,0.6625189751377749,0.04981013550423086,0.03381220578982417,0.017814276075417485,0.001816346361010801,0.1013925194150943,0.2009686924691778,0.30054486552326126,0.4001210385773447,75.47158720570229,78.77894694681822,70.08184355104311,67.982338728216,66.23928140440245,52.509588249732566,47.88734853727627,42.18183432344616,36.02485943763551,34.60327917414227,0.001376724727110831,0.0014750428115384614,0.0015869803518007706,0.002032604929094207,0.002229113170536078,0.002455178431638807,0.0027118332139062233,0.0029947188027212002,0.00376063603970969,0.00383511131,-4.0,-8.0,-10.0,-7.0,-3.0,-4.0,1.0,1.0,-5.0,-9.0
2023-09-01,14744400.0,-0.0034305012398651025,1.21,1.2552689489556026,82.0,0.5003338647693454,70.96766254562348,0.0012127686819872088,-6,24333200.0,15021400.0,28782800.0,16050400.0,14912100.0,18561400.0,15766400.0,21730300.0,27074400.0,21718100.0,0.009815247072495037,-0.0014413156263869409,0.03397911819739696,0.005997024652199867,-0.0008988194439776276,0.005724689643317626,-0.0003012691557275904,0.006060629178787691,-0.0054249639404549965,0.0036297316066331575,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.2844606257576394,1.3149230769230769,1.3467312979824586,1.3799651382430322,1.4890957010029149,1.5289338402952561,1.5706750750456335,1.6144305651077147,1.6603160531135075,1.8119603760828717,82.0,82.0,94.0,83.0,32.25,75.0,78.0,65.0,84.0,33.75,0.5003338647693454,0.5814264199535601,0.6625189751377749,0.04981013550423086,0.03381220578982417,0.017814276075417485,0.001816346361010801,0.1013925194150943,0.2009686924691778,0.30054486552326126,75.47158720570229,75.47158720570229,78.77894694681822,70.08184355104311,67.982338728216,66.23928140440245,52.509588249732566,47.88734853727627,42.18183432344616,36.02485943763551,0.001289887520092279,0.001376724727110831,0.0014750428115384614,0.0015869803518007706,0.002032604929094207,0.002229113170536078,0.002455178431638807,0.0027118332139062233,0.0029947188027212002,0.00376063603970969,0.0,-4.0,-8.0,-10.0,-7.0,-3.0,-4.0,1.0,1.0,-5.0
