Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Volume(t-9),Volume(t-10),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),Close(t-9),Close(t-10),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),reportedEPS(t-9),reportedEPS(t-10),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),surprise(t-9),surprise(t-10),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Value(t-9),Value(t-10),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),Headline_score(t-9),Headline_score(t-10),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),RSI(t-9),RSI(t-10),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),InsiderFlow(t-9),InsiderFlow(t-10),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),sentiment(t-9),sentiment(t-10)
2023-08-30,9939100.0,-0.0035299241660151637,2.8,2.3604738360867183,80.0,-0.1641439133024202,31.638390813903115,-0.02368868557856601,-9.0,12208600.0,18458000.0,18185500.0,70755100.0,119011400.0,56835400.0,151319500.0,49617200.0,70904200.0,85832700.0,0.00012176196553337348,-0.011789514068571316,0.014338048755413446,0.0034035767682891738,-0.008974843221660755,-0.007947452310322567,-0.029798833127680502,-0.0087350700660771,0.009397293139180585,-0.0031802952337686152,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.4122882684005686,2.4662580706677923,2.642384615384615,2.706304365098598,2.773088947220452,2.8429089879379936,2.9159456164802897,3.1563273372465517,3.2442555482634314,3.336464065783438,65.0,69.0,38.75,80.0,82.0,84.0,86.0,33.25,84.0,91.0,-0.4787342071595049,-0.06073823315091431,0.2519375175907044,0.3757323158442887,0.499527114097873,0.022396036016289145,0.005950003077183889,-0.4889548470637237,6.657992344116792e-06,0.24137998141668504,31.140353229436784,30.901537316167435,34.54581271164692,40.10026047401669,35.44545712169274,40.38559866423143,46.13458079778042,65.3655554369991,48.910521695585885,46.86595213818341,-0.02437086933758076,-0.025093045531911988,-0.027537537634530634,-0.028460139471576246,-0.029445688214918452,-0.030500734446742728,-0.031632750876768076,-0.03558287931902269,-0.037122488287301914,-0.03879743477843218,-10.0,-9.0,-5.0,-3.0,-4.0,-4.0,-6.0,-5.0,-2.0,-2.0
2023-08-31,15333000.0,-0.012520632170001877,2.8,2.3106983146567326,75.0,0.0012495390328695066,22.68794578565749,-0.023043294021400255,-7.0,9939100.0,12208600.0,18458000.0,18185500.0,70755100.0,119011400.0,56835400.0,151319500.0,49617200.0,70904200.0,-0.0035299241660151637,0.00012176196553337348,-0.011789514068571316,0.014338048755413446,0.0034035767682891738,-0.008974843221660755,-0.007947452310322567,-0.029798833127680502,-0.0087350700660771,0.009397293139180585,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.3604738360867183,2.4122882684005686,2.4662580706677923,2.642384615384615,2.706304365098598,2.773088947220452,2.8429089879379936,2.9159456164802897,3.1563273372465517,3.2442555482634314,80.0,65.0,69.0,38.75,80.0,82.0,84.0,86.0,33.25,84.0,-0.1641439133024202,-0.4787342071595049,-0.06073823315091431,0.2519375175907044,0.3757323158442887,0.499527114097873,0.022396036016289145,0.005950003077183889,-0.4889548470637237,6.657992344116792e-06,31.638390813903115,31.140353229436784,30.901537316167435,34.54581271164692,40.10026047401669,35.44545712169274,40.38559866423143,46.13458079778042,65.3655554369991,48.910521695585885,-0.02368868557856601,-0.02437086933758076,-0.025093045531911988,-0.027537537634530634,-0.028460139471576246,-0.029445688214918452,-0.030500734446742728,-0.031632750876768076,-0.03558287931902269,-0.037122488287301914,-9.0,-10.0,-9.0,-5.0,-3.0,-4.0,-4.0,-6.0,-5.0,-2.0
2023-09-01,8609500.0,-0.007422049744313264,2.8,2.2628525883379442,75.0,0.9294931048279977,21.822119314073447,-0.02243182370841406,-3.0,15333000.0,9939100.0,12208600.0,18458000.0,18185500.0,70755100.0,119011400.0,56835400.0,151319500.0,49617200.0,-0.012520632170001877,-0.0035299241660151637,0.00012176196553337348,-0.011789514068571316,0.014338048755413446,0.0034035767682891738,-0.008974843221660755,-0.007947452310322567,-0.029798833127680502,-0.0087350700660771,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.3106983146567326,2.3604738360867183,2.4122882684005686,2.4662580706677923,2.642384615384615,2.706304365098598,2.773088947220452,2.8429089879379936,2.9159456164802897,3.1563273372465517,75.0,80.0,65.0,69.0,38.75,80.0,82.0,84.0,86.0,33.25,0.0012495390328695066,-0.1641439133024202,-0.4787342071595049,-0.06073823315091431,0.2519375175907044,0.3757323158442887,0.499527114097873,0.022396036016289145,0.005950003077183889,-0.4889548470637237,22.68794578565749,31.638390813903115,31.140353229436784,30.901537316167435,34.54581271164692,40.10026047401669,35.44545712169274,40.38559866423143,46.13458079778042,65.3655554369991,-0.023043294021400255,-0.02368868557856601,-0.02437086933758076,-0.025093045531911988,-0.027537537634530634,-0.028460139471576246,-0.029445688214918452,-0.030500734446742728,-0.031632750876768076,-0.03558287931902269,-7.0,-9.0,-10.0,-9.0,-5.0,-3.0,-4.0,-4.0,-6.0,-5.0
2023-09-04,8609500.0,-0.007422049744313264,2.8,2.129903524958366,75.0,0.9294931048279977,21.822119314073447,-0.020776351653524094,0.0,8609500.0,15333000.0,9939100.0,12208600.0,18458000.0,18185500.0,70755100.0,119011400.0,56835400.0,151319500.0,-0.007422049744313264,-0.012520632170001877,-0.0035299241660151637,0.00012176196553337348,-0.011789514068571316,0.014338048755413446,0.0034035767682891738,-0.008974843221660755,-0.007947452310322567,-0.029798833127680502,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.2628525883379442,2.3106983146567326,2.3604738360867183,2.4122882684005686,2.4662580706677923,2.642384615384615,2.706304365098598,2.773088947220452,2.8429089879379936,2.9159456164802897,75.0,75.0,80.0,65.0,69.0,38.75,80.0,82.0,84.0,86.0,0.9294931048279977,0.0012495390328695066,-0.1641439133024202,-0.4787342071595049,-0.06073823315091431,0.2519375175907044,0.3757323158442887,0.499527114097873,0.022396036016289145,0.005950003077183889,21.822119314073447,22.68794578565749,31.638390813903115,31.140353229436784,30.901537316167435,34.54581271164692,40.10026047401669,35.44545712169274,40.38559866423143,46.13458079778042,-0.02243182370841406,-0.023043294021400255,-0.02368868557856601,-0.02437086933758076,-0.025093045531911988,-0.027537537634530634,-0.028460139471576246,-0.029445688214918452,-0.030500734446742728,-0.031632750876768076,-3.0,-7.0,-9.0,-10.0,-9.0,-5.0,-3.0,-4.0,-4.0,-6.0
