,Actual,Predicted,Predicted-Probs
113,1,1,"(tensor(0.0147), tensor(0.9853))"
114,1,0,"(tensor(0.5078), tensor(0.4922))"
115,1,1,"(tensor(0.4615), tensor(0.5385))"
116,1,1,"(tensor(0.2967), tensor(0.7033))"
117,0,1,"(tensor(0.4104), tensor(0.5896))"
118,0,0,"(tensor(0.5522), tensor(0.4478))"
119,1,0,"(tensor(0.5734), tensor(0.4266))"
120,1,1,"(tensor(0.2137), tensor(0.7863))"
121,0,0,"(tensor(0.9503), tensor(0.0497))"
122,1,0,"(tensor(0.8086), tensor(0.1914))"
123,0,1,"(tensor(0.3136), tensor(0.6864))"
124,0,0,"(tensor(0.5023), tensor(0.4977))"
125,0,0,"(tensor(0.5027), tensor(0.4973))"
