Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),Close_Tmr
2016-01-28,222715200.0,0.007171602064558469,0.8200000000000001,1.5344207902567186,78.0,-0.0567683857,44.495496047846025,-0.009619102800000001,9.0,533478800.0,300308000.0,207178000.0,263202000.0,208646000.0,289337600.0,212350800.0,319335600.0,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,-0.014426783209418259,0.8200000000000001,0.8200000000000001,0.49,0.49,0.49,0.49,0.49,0.49,1.5445714243620305,1.548,0.6995670106804869,0.7230049018149869,0.7311651137733974,0.7395087313831705,0.7480419039395078,0.756771053650096,95.0,100.0,71.0,59.75,68.0,69.0,65.0,63.0,0.2023558206,0.9928851829,0.183597076,0.61197132215,0.3344442375,-0.1227827746,0.0202156814,-0.0041261499,44.15285772442194,48.49511463067982,43.47312291318036,42.35706235857351,28.180261458068685,29.024229588304138,25.904175843195304,24.587001903254773,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,9.0,7.0,7.0,6.0,6.0,6.0,8.0,0.0,0.03454141960756396
2016-01-29,257666000.0,0.03454141960756396,0.8200000000000001,1.5179388859695444,58.75,0.134825377525,47.85583111891176,-0.009619102800000001,8.0,222715200.0,533478800.0,300308000.0,207178000.0,263202000.0,208646000.0,289337600.0,212350800.0,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,-0.0048385662514844885,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.49,0.49,0.49,0.49,0.49,1.5344207902567186,1.5445714243620305,1.548,0.6995670106804869,0.7230049018149869,0.7311651137733974,0.7395087313831705,0.7480419039395078,78.0,95.0,100.0,71.0,59.75,68.0,69.0,65.0,-0.0567683857,0.2023558206,0.9928851829,0.183597076,0.61197132215,0.3344442375,-0.1227827746,0.0202156814,44.495496047846025,44.15285772442194,48.49511463067982,43.47312291318036,42.35706235857351,28.180261458068685,29.024229588304138,25.904175843195304,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,9.0,9.0,7.0,7.0,6.0,6.0,6.0,8.0,-0.00934861887773275
2016-02-01,163774000.0,-0.00934861887773275,0.8200000000000001,1.4372819174903815,63.0,0.1966256891,43.51809049379508,-0.009619102800000001,9.0,257666000.0,222715200.0,533478800.0,300308000.0,207178000.0,263202000.0,208646000.0,289337600.0,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.0013447510025657028,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.49,0.49,0.49,0.49,1.5179388859695444,1.5344207902567186,1.5445714243620305,1.548,0.6995670106804869,0.7230049018149869,0.7311651137733974,0.7395087313831705,58.75,78.0,95.0,100.0,71.0,59.75,68.0,69.0,0.134825377525,-0.0567683857,0.2023558206,0.9928851829,0.183597076,0.61197132215,0.3344442375,-0.1227827746,47.85583111891176,44.495496047846025,44.15285772442194,48.49511463067982,43.47312291318036,42.35706235857351,28.180261458068685,29.024229588304138,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,8.0,9.0,9.0,7.0,7.0,6.0,6.0,6.0,-0.0202218998421152
2016-02-02,149428800.0,-0.0202218998421152,0.8200000000000001,1.4027715007126709,68.0,0.0364564607,44.53210116911045,-0.0017718434,8.0,163774000.0,257666000.0,222715200.0,533478800.0,300308000.0,207178000.0,263202000.0,208646000.0,-0.00934861887773275,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,-0.005062481835931276,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.49,0.49,0.49,1.4372819174903815,1.5179388859695444,1.5344207902567186,1.5445714243620305,1.548,0.6995670106804869,0.7230049018149869,0.7311651137733974,63.0,58.75,78.0,95.0,100.0,71.0,59.75,68.0,0.1966256891,0.134825377525,-0.0567683857,0.2023558206,0.9928851829,0.183597076,0.61197132215,0.3344442375,43.51809049379508,47.85583111891176,44.495496047846025,44.15285772442194,48.49511463067982,43.47312291318036,42.35706235857351,28.180261458068685,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,9.0,8.0,9.0,9.0,7.0,7.0,6.0,6.0,0.019792413257306185
2016-02-03,183857200.0,0.019792413257306185,0.8200000000000001,1.3658823529411765,69.0,-0.1912501549,43.98480108684287,-0.0017718434,7.0,149428800.0,163774000.0,257666000.0,222715200.0,533478800.0,300308000.0,207178000.0,263202000.0,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.05316706433110707,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.49,0.49,1.4027715007126709,1.4372819174903815,1.5179388859695444,1.5344207902567186,1.5445714243620305,1.548,0.6995670106804869,0.7230049018149869,68.0,63.0,58.75,78.0,95.0,100.0,71.0,59.75,0.0364564607,0.1966256891,0.134825377525,-0.0567683857,0.2023558206,0.9928851829,0.183597076,0.61197132215,44.53210116911045,43.51809049379508,47.85583111891176,44.495496047846025,44.15285772442194,48.49511463067982,43.47312291318036,42.35706235857351,-0.0017718434,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,8.0,9.0,8.0,9.0,9.0,7.0,7.0,6.0,0.008034967802570847
2016-02-04,185886800.0,0.008034967802570847,0.8200000000000001,1.3273990490030185,71.0,0.2267167953,49.98819078854334,-0.0017718434,7.0,183857200.0,149428800.0,163774000.0,257666000.0,222715200.0,533478800.0,300308000.0,207178000.0,0.019792413257306185,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,-0.019522545300274863,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.49,1.3658823529411765,1.4027715007126709,1.4372819174903815,1.5179388859695444,1.5344207902567186,1.5445714243620305,1.548,0.6995670106804869,69.0,68.0,63.0,58.75,78.0,95.0,100.0,71.0,-0.1912501549,0.0364564607,0.1966256891,0.134825377525,-0.0567683857,0.2023558206,0.9928851829,0.183597076,43.98480108684287,44.53210116911045,43.51809049379508,47.85583111891176,44.495496047846025,44.15285772442194,48.49511463067982,43.47312291318036,-0.0017718434,-0.0017718434,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,7.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,-0.026708072502458102
2016-02-05,185672400.0,-0.026708072502458102,0.8200000000000001,1.288013855634982,54.75,0.334835119475,45.63566802628013,-0.0017718434,7.0,185886800.0,183857200.0,149428800.0,163774000.0,257666000.0,222715200.0,533478800.0,300308000.0,0.008034967802570847,0.019792413257306185,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.0055306073754741725,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.3273990490030185,1.3658823529411765,1.4027715007126709,1.4372819174903815,1.5179388859695444,1.5344207902567186,1.5445714243620305,1.548,71.0,69.0,68.0,63.0,58.75,78.0,95.0,100.0,0.2267167953,-0.1912501549,0.0364564607,0.1966256891,0.134825377525,-0.0567683857,0.2023558206,0.9928851829,49.98819078854334,43.98480108684287,44.53210116911045,43.51809049379508,47.85583111891176,44.495496047846025,44.15285772442194,48.49511463067982,-0.0017718434,-0.0017718434,-0.0017718434,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,7.0,7.0,8.0,9.0,8.0,9.0,9.0,7.0,0.010529741659682346
2016-02-08,216085600.0,0.010529741659682346,0.8200000000000001,1.1698067001586376,66.0,0.3851442833,47.96345596787638,-0.0017718434,6.0,185672400.0,185886800.0,183857200.0,149428800.0,163774000.0,257666000.0,222715200.0,533478800.0,-0.026708072502458102,0.008034967802570847,0.019792413257306185,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.007171602064558469,-0.06570628768241449,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.288013855634982,1.3273990490030185,1.3658823529411765,1.4027715007126709,1.4372819174903815,1.5179388859695444,1.5344207902567186,1.5445714243620305,54.75,71.0,69.0,68.0,63.0,58.75,78.0,95.0,0.334835119475,0.2267167953,-0.1912501549,0.0364564607,0.1966256891,0.134825377525,-0.0567683857,0.2023558206,45.63566802628013,49.98819078854334,43.98480108684287,44.53210116911045,43.51809049379508,47.85583111891176,44.495496047846025,44.15285772442194,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,7.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,-0.00021053469139742376
2016-02-09,177324800.0,-0.00021053469139742376,0.8200000000000001,1.1316735552399615,67.0,0.41692647800000004,47.68488575229152,-0.0017718434,5.0,216085600.0,185672400.0,185886800.0,183857200.0,149428800.0,163774000.0,257666000.0,222715200.0,0.010529741659682346,-0.026708072502458102,0.008034967802570847,0.019792413257306185,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.007171602064558469,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.1698067001586376,1.288013855634982,1.3273990490030185,1.3658823529411765,1.4027715007126709,1.4372819174903815,1.5179388859695444,1.5344207902567186,66.0,54.75,71.0,69.0,68.0,63.0,58.75,78.0,0.3851442833,0.334835119475,0.2267167953,-0.1912501549,0.0364564607,0.1966256891,0.134825377525,-0.0567683857,47.96345596787638,45.63566802628013,49.98819078854334,43.98480108684287,44.53210116911045,43.51809049379508,47.85583111891176,44.495496047846025,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.009619102800000001,-0.009619102800000001,-0.009619102800000001,6.0,7.0,7.0,7.0,8.0,9.0,8.0,9.0,-0.007579618016465894
2016-02-10,169374400.0,-0.007579618016465894,0.8200000000000001,1.0946012972767756,64.0,0.0045863811,47.28623014011183,-0.0017718434,4.0,177324800.0,216085600.0,185672400.0,185886800.0,183857200.0,149428800.0,163774000.0,257666000.0,-0.00021053469139742376,0.010529741659682346,-0.026708072502458102,0.008034967802570847,0.019792413257306185,-0.0202218998421152,-0.00934861887773275,0.03454141960756396,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.1316735552399615,1.1698067001586376,1.288013855634982,1.3273990490030185,1.3658823529411765,1.4027715007126709,1.4372819174903815,1.5179388859695444,67.0,66.0,54.75,71.0,69.0,68.0,63.0,58.75,0.41692647800000004,0.3851442833,0.334835119475,0.2267167953,-0.1912501549,0.0364564607,0.1966256891,0.134825377525,47.68488575229152,47.96345596787638,45.63566802628013,49.98819078854334,43.98480108684287,44.53210116911045,43.51809049379508,47.85583111891176,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.0017718434,-0.009619102800000001,-0.009619102800000001,5.0,6.0,7.0,7.0,7.0,8.0,9.0,8.0,-0.006046411538264129
