Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,NY,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),NY(t-1),NY(t-2),NY(t-3),NY(t-4),NY(t-5),NY(t-6),NY(t-7),NY(t-8)
2023-08-25,44124800.0,0.010770617478330413,0.65,48.286021588369756,26.0,0.03551365300427278,35.50926303582861,-0.0046287724,-4.0,0.004341043613838691,43646300.0,42801000.0,32935100.0,41442500.0,48469400.0,48469400.0,48469400.0,48354100.0,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.010959251176415385,0.005415351580327207,-0.00012854801576097242,-0.005672447611849152,-0.008069975106195781,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,49.820424907896744,51.42858,53.11237644454875,54.87295768816112,56.71043548775307,58.623535103272964,60.60916277465808,62.66189057874975,28.0,30.0,27.0,28.0,4.0,6.0,26.0,25.0,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,-0.9218542677214524,-0.45082312213902087,0.02020802344341064,0.08642194670184315,-0.5616006124026691,29.636359937396136,41.38948755017894,30.17417379109962,26.728342385142852,28.47956840179539,30.149038228524432,31.74234646880224,59.28910464035146,-0.0046287724,-0.0046287724,-0.0046287724,-0.03278294119333334,-0.0047909241,-0.0047909241,-0.0047909241,-0.0047909241,-5.0,-6.0,-7.0,-6.0,0.0,0.0,-8.0,-5.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-26,44124800.0,0.006880258762765065,0.65,46.822960422133065,8.0,0.4202606012598456,32.7091625047169,-0.0046287724,0.0,0.004341043613838691,44124800.0,43646300.0,42801000.0,32935100.0,41442500.0,48469400.0,48469400.0,48469400.0,0.010770617478330413,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.010959251176415385,0.005415351580327207,-0.00012854801576097242,-0.005672447611849152,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,48.286021588369756,49.820424907896744,51.42858,53.11237644454875,54.87295768816112,56.71043548775307,58.623535103272964,60.60916277465808,26.0,28.0,30.0,27.0,28.0,4.0,6.0,26.0,0.03551365300427278,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,-0.9218542677214524,-0.45082312213902087,0.02020802344341064,0.08642194670184315,35.50926303582861,29.636359937396136,41.38948755017894,30.17417379109962,26.728342385142852,28.47956840179539,30.149038228524432,31.74234646880224,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.03278294119333334,-0.0047909241,-0.0047909241,-0.0047909241,-4.0,-5.0,-6.0,-7.0,-6.0,0.0,0.0,-8.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-27,44124800.0,0.0029899000471997157,0.65,45.42848814311457,4.0,4.3821317376568913e-05,29.67699902394972,-0.0046287724,0.0,0.004341043613838691,44124800.0,44124800.0,43646300.0,42801000.0,32935100.0,41442500.0,48469400.0,48469400.0,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.010959251176415385,0.005415351580327207,-0.00012854801576097242,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,46.822960422133065,48.286021588369756,49.820424907896744,51.42858,53.11237644454875,54.87295768816112,56.71043548775307,58.623535103272964,8.0,26.0,28.0,30.0,27.0,28.0,4.0,6.0,0.4202606012598456,0.03551365300427278,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,-0.9218542677214524,-0.45082312213902087,0.02020802344341064,32.7091625047169,35.50926303582861,29.636359937396136,41.38948755017894,30.17417379109962,26.728342385142852,28.47956840179539,30.149038228524432,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.03278294119333334,-0.0047909241,-0.0047909241,0.0,-4.0,-5.0,-6.0,-7.0,-6.0,0.0,0.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-28,34083100.0,-0.0009004586683656335,0.65,44.099643529441636,25.0,-0.19479057953867596,26.382676564993517,-0.0046287724,-6.0,0.004341043613838691,44124800.0,44124800.0,44124800.0,43646300.0,42801000.0,32935100.0,41442500.0,48469400.0,0.0029899000471997157,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.010959251176415385,0.005415351580327207,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,45.42848814311457,46.822960422133065,48.286021588369756,49.820424907896744,51.42858,53.11237644454875,54.87295768816112,56.71043548775307,4.0,8.0,26.0,28.0,30.0,27.0,28.0,4.0,4.3821317376568913e-05,0.4202606012598456,0.03551365300427278,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,-0.9218542677214524,-0.45082312213902087,29.67699902394972,32.7091625047169,35.50926303582861,29.636359937396136,41.38948755017894,30.17417379109962,26.728342385142852,28.47956840179539,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.03278294119333334,-0.0047909241,0.0,0.0,-4.0,-5.0,-6.0,-7.0,-6.0,0.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-29,38646100.0,0.013294308852447312,0.65,42.83336029514167,25.0,0.9879830124506649,40.54795809073051,-0.0046287724,-4.0,0.004341043613838691,34083100.0,44124800.0,44124800.0,44124800.0,43646300.0,42801000.0,32935100.0,41442500.0,-0.0009004586683656335,0.0029899000471997157,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.010959251176415385,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,44.099643529441636,45.42848814311457,46.822960422133065,48.286021588369756,49.820424907896744,51.42858,53.11237644454875,54.87295768816112,25.0,4.0,8.0,26.0,28.0,30.0,27.0,28.0,-0.19479057953867596,4.3821317376568913e-05,0.4202606012598456,0.03551365300427278,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,-0.9218542677214524,26.382676564993517,29.67699902394972,32.7091625047169,35.50926303582861,29.636359937396136,41.38948755017894,30.17417379109962,26.728342385142852,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.03278294119333334,-6.0,0.0,0.0,-4.0,-5.0,-6.0,-7.0,-6.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-30,36137000.0,0.0011860029483117263,0.65,41.62654389592463,25.0,0.5001066607304286,50.0,-0.0046287724,0.0,0.004341043613838691,38646100.0,34083100.0,44124800.0,44124800.0,44124800.0,43646300.0,42801000.0,32935100.0,0.013294308852447312,-0.0009004586683656335,0.0029899000471997157,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.009459994581005438,-0.0031926989841399855,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,42.83336029514167,44.099643529441636,45.42848814311457,46.822960422133065,48.286021588369756,49.820424907896744,51.42858,53.11237644454875,25.0,25.0,4.0,8.0,26.0,28.0,30.0,27.0,0.9879830124506649,-0.19479057953867596,4.3821317376568913e-05,0.4202606012598456,0.03551365300427278,0.5005104914259088,0.32160777486205916,-0.0006208427103047143,40.54795809073051,26.382676564993517,29.67699902394972,32.7091625047169,35.50926303582861,29.636359937396136,41.38948755017894,30.17417379109962,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-4.0,-6.0,0.0,0.0,-4.0,-5.0,-6.0,-7.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-08-31,57950902.125,0.021766395374091863,0.65,40.47612781877038,25.0,0.16930143446188595,64.38260081593816,-0.0046287724,0.0,0.004341043613838691,36137000.0,38646100.0,34083100.0,44124800.0,44124800.0,44124800.0,43646300.0,42801000.0,0.0011860029483117263,0.013294308852447312,-0.0009004586683656335,0.0029899000471997157,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.009459994581005438,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,41.62654389592463,42.83336029514167,44.099643529441636,45.42848814311457,46.822960422133065,48.286021588369756,49.820424907896744,51.42858,25.0,25.0,25.0,4.0,8.0,26.0,28.0,30.0,0.5001066607304286,0.9879830124506649,-0.19479057953867596,4.3821317376568913e-05,0.4202606012598456,0.03551365300427278,0.5005104914259088,0.32160777486205916,50.0,40.54795809073051,26.382676564993517,29.67699902394972,32.7091625047169,35.50926303582861,29.636359937396136,41.38948755017894,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,0.0,-4.0,-6.0,0.0,0.0,-4.0,-5.0,-6.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
2023-09-01,57950902.125,0.021766395374091863,0.65,39.3791138952217,25.0,0.16930143446188595,64.38260081593816,-0.0046287724,0.0,0.004341043613838691,57950902.125,36137000.0,38646100.0,34083100.0,44124800.0,44124800.0,44124800.0,43646300.0,0.021766395374091863,0.0011860029483117263,0.013294308852447312,-0.0009004586683656335,0.0029899000471997157,0.006880258762765065,0.010770617478330413,-0.027154721211492316,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,40.47612781877038,41.62654389592463,42.83336029514167,44.099643529441636,45.42848814311457,46.822960422133065,48.286021588369756,49.820424907896744,25.0,25.0,25.0,25.0,4.0,8.0,26.0,28.0,0.16930143446188595,0.5001066607304286,0.9879830124506649,-0.19479057953867596,4.3821317376568913e-05,0.4202606012598456,0.03551365300427278,0.5005104914259088,64.38260081593816,50.0,40.54795809073051,26.382676564993517,29.67699902394972,32.7091625047169,35.50926303582861,29.636359937396136,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,-0.0046287724,0.0,0.0,-4.0,-6.0,0.0,0.0,-4.0,-5.0,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691,0.004341043613838691
