Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Volume(t-9),Volume(t-10),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),Close(t-9),Close(t-10),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),reportedEPS(t-9),reportedEPS(t-10),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),surprise(t-9),surprise(t-10),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Value(t-9),Value(t-10),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),Headline_score(t-9),Headline_score(t-10),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),RSI(t-9),RSI(t-10),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),InsiderFlow(t-9),InsiderFlow(t-10),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),sentiment(t-9),sentiment(t-10)
2023-08-29,8040800.0,0.08548169935324013,0.06,107.9442442798064,66.0,0.973778554238379,43.54736542159117,-0.004434804659938769,2,4186200.0,5832000.0,6810500.0,6147100.0,6484300.0,6152700.0,6234600.0,8999900.0,7346400.0,9940800.0,-0.01371695736944889,-0.01580511808812457,-0.06754678772536948,0.0,-0.02309539454935927,0.038952944657394184,0.009754545604232945,-0.018529967934161173,-0.022047705492059255,-0.04910968120012282,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,111.42858,122.8725991964377,127.01764799140595,131.31984089331283,135.76741740303666,140.34226902795302,154.5236379777466,159.24869845365717,163.86555882352943,168.2911675160227,28.0,13.0,77.0,68.0,70.0,47.0,21.0,100.0,93.0,64.0,0.973778554238379,0.973778554238379,0.8937053228144881,0.8136320913905972,0.7335588599667062,0.6534856285428153,0.5734123971189244,0.49333916569503344,0.41326593427114255,0.3331927028472516,13.999352993772959,14.085880570164264,11.098296047986153,9.774266361778501,10.220128251599846,9.508884617546641,13.399992126477997,18.609019988643837,27.430320180409907,25.4855501705117,-0.0045226311,-0.03733868746578891,-0.0380781392,-0.015628042957586526,-0.0159375392,-0.007590847703926185,-0.008330326187748732,-0.008609420649497879,-0.008907557055698248,-0.009226717010044733,2.0,1.0,0.0,2.0,0.0,-2.0,-4.0,-4.0,-3.0,-4.0
2023-08-30,7636600.0,0.04156255722187496,0.06,104.61970405252075,72.0,0.973778554238379,54.24403991567068,-0.1614334274,2,8040800.0,4186200.0,5832000.0,6810500.0,6147100.0,6484300.0,6152700.0,6234600.0,8999900.0,7346400.0,0.08548169935324013,-0.01371695736944889,-0.01580511808812457,-0.06754678772536948,0.0,-0.02309539454935927,0.038952944657394184,0.009754545604232945,-0.018529967934161173,-0.022047705492059255,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,107.9442442798064,111.42858,122.8725991964377,127.01764799140595,131.31984089331283,135.76741740303666,140.34226902795302,154.5236379777466,159.24869845365717,163.86555882352943,66.0,28.0,13.0,77.0,68.0,70.0,47.0,21.0,100.0,93.0,0.973778554238379,0.973778554238379,0.973778554238379,0.8937053228144881,0.8136320913905972,0.7335588599667062,0.6534856285428153,0.5734123971189244,0.49333916569503344,0.41326593427114255,43.54736542159117,13.999352993772959,14.085880570164264,11.098296047986153,9.774266361778501,10.220128251599846,9.508884617546641,13.399992126477997,18.609019988643837,27.430320180409907,-0.004434804659938769,-0.0045226311,-0.03733868746578891,-0.0380781392,-0.015628042957586526,-0.0159375392,-0.007590847703926185,-0.008330326187748732,-0.008609420649497879,-0.008907557055698248,2.0,2.0,1.0,0.0,2.0,0.0,-2.0,-4.0,-4.0,-3.0
2023-08-31,5789800.0,-0.034803588312965705,0.06,101.4497384768253,72.0,0.973778554238379,45.503713976651866,-0.1582984993189931,0,7636600.0,8040800.0,4186200.0,5832000.0,6810500.0,6147100.0,6484300.0,6152700.0,6234600.0,8999900.0,0.04156255722187496,0.08548169935324013,-0.01371695736944889,-0.01580511808812457,-0.06754678772536948,0.0,-0.02309539454935927,0.038952944657394184,0.009754545604232945,-0.018529967934161173,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,104.61970405252075,107.9442442798064,111.42858,122.8725991964377,127.01764799140595,131.31984089331283,135.76741740303666,140.34226902795302,154.5236379777466,159.24869845365717,72.0,66.0,28.0,13.0,77.0,68.0,70.0,47.0,21.0,100.0,0.973778554238379,0.973778554238379,0.973778554238379,0.973778554238379,0.8937053228144881,0.8136320913905972,0.7335588599667062,0.6534856285428153,0.5734123971189244,0.49333916569503344,54.24403991567068,43.54736542159117,13.999352993772959,14.085880570164264,11.098296047986153,9.774266361778501,10.220128251599846,9.508884617546641,13.399992126477997,18.609019988643837,-0.1614334274,-0.004434804659938769,-0.0045226311,-0.03733868746578891,-0.0380781392,-0.015628042957586526,-0.0159375392,-0.007590847703926185,-0.008330326187748732,-0.008609420649497879,2.0,2.0,2.0,1.0,0.0,2.0,0.0,-2.0,-4.0,-4.0
2023-09-01,5146300.0,0.02424627411866176,0.06,98.42838214343257,72.0,0.973778554238379,43.438603752034005,-0.14988717447061775,1,5789800.0,7636600.0,8040800.0,4186200.0,5832000.0,6810500.0,6147100.0,6484300.0,6152700.0,6234600.0,-0.034803588312965705,0.04156255722187496,0.08548169935324013,-0.01371695736944889,-0.01580511808812457,-0.06754678772536948,0.0,-0.02309539454935927,0.038952944657394184,0.009754545604232945,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,101.4497384768253,104.61970405252075,107.9442442798064,111.42858,122.8725991964377,127.01764799140595,131.31984089331283,135.76741740303666,140.34226902795302,154.5236379777466,72.0,72.0,66.0,28.0,13.0,77.0,68.0,70.0,47.0,21.0,0.973778554238379,0.973778554238379,0.973778554238379,0.973778554238379,0.973778554238379,0.8937053228144881,0.8136320913905972,0.7335588599667062,0.6534856285428153,0.5734123971189244,45.503713976651866,54.24403991567068,43.54736542159117,13.999352993772959,14.085880570164264,11.098296047986153,9.774266361778501,10.220128251599846,9.508884617546641,13.399992126477997,-0.1582984993189931,-0.1614334274,-0.004434804659938769,-0.0045226311,-0.03733868746578891,-0.0380781392,-0.015628042957586526,-0.0159375392,-0.007590847703926185,-0.008330326187748732,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,-2.0,-4.0
