Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8)
2023-08-25,3195000.0,0.019187368266029736,0.21,-2.5606475364079824,77.0,-0.15485457437292405,31.18279735116805,0.9538729330000001,-15.0,5114100.0,7279300.0,5206300.0,3849900.0,6197900.0,6197900.0,6197900.0,5883400.0,-0.0327511130674476,0.020044578432673266,0.002791693887549629,-0.0055524919616343205,-0.004440331850518805,-0.003328171739403289,-0.002216011628287773,-0.019554623209344757,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,-2.909958188674893,-3.0074011513782595,-3.1088544013300843,-3.2141538738834514,-3.323011721797961,100.0,74.0,66.0,81.0,35.0,43.0,76.0,75.0,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,-0.3613099596481738,-0.4129238059669863,-0.4645376522857987,-0.5161514986046112,-0.5677653449234236,23.22944859225511,27.986334791321028,17.82942240712599,15.708802740581547,16.559697664562492,17.41937579790857,18.287973840792702,13.276860054259771,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,-14.0,-10.0,-6.0,5.0,0.0,0.0,8.0,2.0
2023-08-26,3195000.0,0.010207610705586956,0.21,-2.483060196476035,45.0,-0.10324072805411155,32.04419850528059,0.9538729330000001,0.0,3195000.0,5114100.0,7279300.0,5206300.0,3849900.0,6197900.0,6197900.0,6197900.0,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.002791693887549629,-0.0055524919616343205,-0.004440331850518805,-0.003328171739403289,-0.002216011628287773,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,-2.909958188674893,-3.0074011513782595,-3.1088544013300843,-3.2141538738834514,77.0,100.0,74.0,66.0,81.0,35.0,43.0,76.0,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,-0.3613099596481738,-0.4129238059669863,-0.4645376522857987,-0.5161514986046112,31.18279735116805,23.22944859225511,27.986334791321028,17.82942240712599,15.708802740581547,16.559697664562492,17.41937579790857,18.287973840792702,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,-15.0,-14.0,-10.0,-6.0,5.0,0.0,0.0,8.0
2023-08-27,3195000.0,0.0012278531451441754,0.21,-2.4091101817844547,30.0,-0.05162688173529917,32.954542784801006,0.9538729330000001,0.0,3195000.0,3195000.0,5114100.0,7279300.0,5206300.0,3849900.0,6197900.0,6197900.0,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.002791693887549629,-0.0055524919616343205,-0.004440331850518805,-0.003328171739403289,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,-2.909958188674893,-3.0074011513782595,-3.1088544013300843,45.0,77.0,100.0,74.0,66.0,81.0,35.0,43.0,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,-0.3613099596481738,-0.4129238059669863,-0.4645376522857987,32.04419850528059,31.18279735116805,23.22944859225511,27.986334791321028,17.82942240712599,15.708802740581547,16.559697664562492,17.41937579790857,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.0,-15.0,-14.0,-10.0,-6.0,5.0,0.0,0.0
2023-08-28,2336000.0,-0.007751904415298605,0.21,-2.338640456295822,78.0,-1.3035416486673057e-05,33.91812343533064,0.9538729330000001,-8.0,3195000.0,3195000.0,3195000.0,5114100.0,7279300.0,5206300.0,3849900.0,6197900.0,0.0012278531451441754,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.002791693887549629,-0.0055524919616343205,-0.004440331850518805,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.4091101817844547,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,-2.909958188674893,-3.0074011513782595,30.0,45.0,77.0,100.0,74.0,66.0,81.0,35.0,-0.05162688173529917,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,-0.3613099596481738,-0.4129238059669863,32.954542784801006,32.04419850528059,31.18279735116805,23.22944859225511,27.986334791321028,17.82942240712599,15.708802740581547,16.559697664562492,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.0,0.0,-15.0,-14.0,-10.0,-6.0,5.0,0.0
2023-08-29,4705600.0,0.016182980299399574,0.21,-2.271488412336873,78.0,-0.49760014141065767,53.903330701198804,0.9538729330000001,-6.0,2336000.0,3195000.0,3195000.0,3195000.0,5114100.0,7279300.0,5206300.0,3849900.0,-0.007751904415298605,0.0012278531451441754,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.002791693887549629,-0.0055524919616343205,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.338640456295822,-2.4091101817844547,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,-2.909958188674893,78.0,30.0,45.0,77.0,100.0,74.0,66.0,81.0,-1.3035416486673057e-05,-0.05162688173529917,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,-0.3613099596481738,33.91812343533064,32.954542784801006,32.04419850528059,31.18279735116805,23.22944859225511,27.986334791321028,17.82942240712599,15.708802740581547,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,-8.0,0.0,0.0,-15.0,-14.0,-10.0,-6.0,5.0
2023-08-30,3083400.0,0.0005491614169552683,0.21,-2.207489943672472,78.0,-0.9951872474048287,45.85151492781776,0.9538729330000001,-8.0,4705600.0,2336000.0,3195000.0,3195000.0,3195000.0,5114100.0,7279300.0,5206300.0,0.016182980299399574,-0.007751904415298605,0.0012278531451441754,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.002791693887549629,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.271488412336873,-2.338640456295822,-2.4091101817844547,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,-2.8165931137359386,78.0,78.0,30.0,45.0,77.0,100.0,74.0,66.0,-0.49760014141065767,-1.3035416486673057e-05,-0.05162688173529917,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,-0.30969611332936137,53.903330701198804,33.91812343533064,32.954542784801006,32.04419850528059,31.18279735116805,23.22944859225511,27.986334791321028,17.82942240712599,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,-6.0,-8.0,0.0,0.0,-15.0,-14.0,-10.0,-6.0
2023-08-31,5258000.0,-0.01591652135720545,0.21,-2.146482430588837,78.0,-0.9951872474048287,47.29731819548339,0.9538729330000001,2.0,3083400.0,4705600.0,2336000.0,3195000.0,3195000.0,3195000.0,5114100.0,7279300.0,0.0005491614169552683,0.016182980299399574,-0.007751904415298605,0.0012278531451441754,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.020044578432673266,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.207489943672472,-2.271488412336873,-2.338640456295822,-2.4091101817844547,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,-2.7272999999999996,78.0,78.0,78.0,30.0,45.0,77.0,100.0,74.0,-0.9951872474048287,-0.49760014141065767,-1.3035416486673057e-05,-0.05162688173529917,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,-0.2580822670105489,45.85151492781776,53.903330701198804,33.91812343533064,32.954542784801006,32.04419850528059,31.18279735116805,23.22944859225511,27.986334791321028,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,-8.0,-6.0,-8.0,0.0,0.0,-15.0,-14.0,-10.0
2023-09-01,5258000.0,-0.01591652135720545,0.21,-2.088306877740706,78.0,-0.9951872474048287,47.29731819548339,0.9538729330000001,0.0,5258000.0,3083400.0,4705600.0,2336000.0,3195000.0,3195000.0,3195000.0,5114100.0,-0.01591652135720545,0.0005491614169552683,0.016182980299399574,-0.007751904415298605,0.0012278531451441754,0.010207610705586956,0.019187368266029736,-0.0327511130674476,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-2.146482430588837,-2.207489943672472,-2.271488412336873,-2.338640456295822,-2.4091101817844547,-2.483060196476035,-2.5606475364079824,-2.6420182095501525,78.0,78.0,78.0,78.0,30.0,45.0,77.0,100.0,-0.9951872474048287,-0.9951872474048287,-0.49760014141065767,-1.3035416486673057e-05,-0.05162688173529917,-0.10324072805411155,-0.15485457437292405,-0.2064684206917365,47.29731819548339,45.85151492781776,53.903330701198804,33.91812343533064,32.954542784801006,32.04419850528059,31.18279735116805,23.22944859225511,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,0.9538729330000001,2.0,-8.0,-6.0,-8.0,0.0,0.0,-15.0,-14.0
