,Close,InsiderFlow,InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),volOI,volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5),volOI(t-6),volOI(t-7),Close_5d,Close_Tmr
0,0.033475310304989625,0.0,0.0,0.0,0.0,0.0,0.0025174691611932797,0.0025683218831125754,0.0026212600353171665,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.20500000000000002,0.0,0.0,0.0,0.0,0.07161591740226719,0.007208365707441988
1,0.007208365707441988,0.0,0.0,0.0,0.0,0.0,0.0,0.0025174691611932797,0.0025683218831125754,0.0136363972,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.20500000000000002,0.0,0.0,0.0,0.09675631532581569,-0.005669768407892795
2,-0.005669768407892795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025174691611932797,0.0116952071,0.0136363972,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.20500000000000002,0.0,0.0,0.1624603657851616,0.020284302003902743
3,0.020284302003902743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008193447900000001,0.0116952071,0.0136363972,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.20500000000000002,0.0,0.1726980188115695,0.016949062595795983
4,0.016949062595795983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007449621700000001,0.008193447900000001,0.0116952071,0.0136363972,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.20500000000000002,0.13746323811738148,0.03126144790171348
5,0.03126144790171348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068295402,0.007449621700000001,0.008193447900000001,0.0116952071,0.0136363972,0.016347770600000002,0.020398262400000002,0.027093562600000003,0.0639360381551093,0.030837745128377447
6,0.030837745128377447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006304708500000001,0.0068295402,0.007449621700000001,0.008193447900000001,0.0116952071,0.0136363972,0.016347770600000002,0.020398262400000002,-0.056872662072728085,0.05389818009338643
7,0.05389818009338643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058547536,0.006304708500000001,0.0068295402,0.007449621700000001,0.008193447900000001,0.0116952071,0.0136363972,0.016347770600000002,-0.08260199188853923,0.029269826998685522
8,0.029269826998685522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.376,0.0058547536,0.006304708500000001,0.0068295402,0.007449621700000001,0.008193447900000001,0.0116952071,0.0136363972,-0.09673618481412466,-0.013606098769647246
9,-0.013606098769647246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2538149234,3.376,0.0058547536,0.006304708500000001,0.0068295402,0.007449621700000001,0.008193447900000001,0.0116952071,-0.07391148990651532,-0.03540072117088966
