Date,Volume,Close,reportedEPS,surprise,Value,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Volume(t-9),Volume(t-10),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),Close(t-9),Close(t-10),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),reportedEPS(t-9),reportedEPS(t-10),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),surprise(t-9),surprise(t-10),Value(t-1),Value(t-2),Value(t-3),Value(t-4),Value(t-5),Value(t-6),Value(t-7),Value(t-8),Value(t-9),Value(t-10),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),Headline_score(t-9),Headline_score(t-10),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),RSI(t-9),RSI(t-10),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),InsiderFlow(t-9),InsiderFlow(t-10),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8),sentiment(t-9),sentiment(t-10)
2023-08-29,9955000.0,0.020976922336748638,-1.43,2.2324560515673983,100.0,-0.08296823647106066,49.94500370996679,-0.0059895335,-5,9904900.0,9409000.0,12661600.0,10747400.0,8877800.0,11311900.0,9573600.0,9933300.0,9895400.0,13808500.0,0.024952861070935972,0.0004710722978005233,-0.023009721713822096,0.028071323108085133,-0.008599112648100093,0.0058185081146735484,0.0004719757497142485,-0.01027716964893588,-0.016990671656029188,-0.043204408332448985,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,2.2669827867589176,2.3770593969225153,2.4160830353711544,2.456362772291882,2.497957715368543,2.5409305496260464,2.67880243007858,2.727994621201214,2.778941484979869,2.8317333023347384,80.0,87.5,84.0,87.0,90.0,86.0,94.5,84.0,84.0,92.0,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.055553377176693175,-0.028138517882325687,-0.000723658587958198,0.02669120070640929,43.41214895536463,34.18994982504796,33.097810301318944,38.68406555471665,35.88375081211764,32.01057538968588,29.645095774730777,30.22775831499395,31.77222421407818,45.203567714478304,-0.003836002335805234,-0.005138120934677144,-0.0055634575863504655,-0.005875666080534372,-0.0059920272,-0.09026194670753958,-0.11851974245141403,-0.12517079887585844,-0.1276496692,-0.0060013637,-4.0,-2.0,-5.0,-6.0,-5.0,-5.0,-3.0,0.0,1.0,3.0
2023-08-30,16892200.0,0.02114571125144482,-1.43,2.198935800085349,94.0,-0.08296823647106066,57.228572653487895,-0.0058732208065034016,0,9955000.0,9904900.0,9409000.0,12661600.0,10747400.0,8877800.0,11311900.0,9573600.0,9933300.0,9895400.0,0.020976922336748638,0.024952861070935972,0.0004710722978005233,-0.023009721713822096,0.028071323108085133,-0.008599112648100093,0.0058185081146735484,0.0004719757497142485,-0.01027716964893588,-0.016990671656029188,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,2.2324560515673983,2.2669827867589176,2.3770593969225153,2.4160830353711544,2.456362772291882,2.497957715368543,2.5409305496260464,2.67880243007858,2.727994621201214,2.778941484979869,100.0,80.0,87.5,84.0,87.0,90.0,86.0,94.5,84.0,84.0,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.055553377176693175,-0.028138517882325687,-0.000723658587958198,49.94500370996679,43.41214895536463,34.18994982504796,33.097810301318944,38.68406555471665,35.88375081211764,32.01057538968588,29.645095774730777,30.22775831499395,31.77222421407818,-0.0059895335,-0.003836002335805234,-0.005138120934677144,-0.0055634575863504655,-0.005875666080534372,-0.0059920272,-0.09026194670753958,-0.11851974245141403,-0.12517079887585844,-0.1276496692,-5.0,-4.0,-2.0,-5.0,-6.0,-5.0,-5.0,-3.0,0.0,1.0
2023-08-31,18420900.0,0.02717001326184909,-1.43,2.1663799611650463,94.0,-0.08296823647106066,64.57352045234555,-0.0514701593,-1,16892200.0,9955000.0,9904900.0,9409000.0,12661600.0,10747400.0,8877800.0,11311900.0,9573600.0,9933300.0,0.02114571125144482,0.020976922336748638,0.024952861070935972,0.0004710722978005233,-0.023009721713822096,0.028071323108085133,-0.008599112648100093,0.0058185081146735484,0.0004719757497142485,-0.01027716964893588,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,2.198935800085349,2.2324560515673983,2.2669827867589176,2.3770593969225153,2.4160830353711544,2.456362772291882,2.497957715368543,2.5409305496260464,2.67880243007858,2.727994621201214,94.0,100.0,80.0,87.5,84.0,87.0,90.0,86.0,94.5,84.0,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.055553377176693175,-0.028138517882325687,57.228572653487895,49.94500370996679,43.41214895536463,34.18994982504796,33.097810301318944,38.68406555471665,35.88375081211764,32.01057538968588,29.645095774730777,30.22775831499395,-0.0058732208065034016,-0.0059895335,-0.003836002335805234,-0.005138120934677144,-0.0055634575863504655,-0.005875666080534372,-0.0059920272,-0.09026194670753958,-0.11851974245141403,-0.12517079887585844,0.0,-5.0,-4.0,-2.0,-5.0,-6.0,-5.0,-5.0,-3.0,0.0
2023-09-01,10770612.0,0.006434042500599535,-1.43,2.134748698746003,94.0,-0.08296823647106066,56.741215350069,-0.050470643584313295,1,18420900.0,16892200.0,9955000.0,9904900.0,9409000.0,12661600.0,10747400.0,8877800.0,11311900.0,9573600.0,0.02717001326184909,0.02114571125144482,0.020976922336748638,0.024952861070935972,0.0004710722978005233,-0.023009721713822096,0.028071323108085133,-0.008599112648100093,0.0058185081146735484,0.0004719757497142485,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,-1.43,2.1663799611650463,2.198935800085349,2.2324560515673983,2.2669827867589176,2.3770593969225153,2.4160830353711544,2.456362772291882,2.497957715368543,2.5409305496260464,2.67880243007858,94.0,94.0,100.0,80.0,87.5,84.0,87.0,90.0,86.0,94.5,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.08296823647106066,-0.055553377176693175,64.57352045234555,57.228572653487895,49.94500370996679,43.41214895536463,34.18994982504796,33.097810301318944,38.68406555471665,35.88375081211764,32.01057538968588,29.645095774730777,-0.0514701593,-0.0058732208065034016,-0.0059895335,-0.003836002335805234,-0.005138120934677144,-0.0055634575863504655,-0.005875666080534372,-0.0059920272,-0.09026194670753958,-0.11851974245141403,-1.0,0.0,-5.0,-4.0,-2.0,-5.0,-6.0,-5.0,-5.0,-3.0
