Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Volume(t-6),Volume(t-7),Volume(t-8),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7),Close(t-8),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),reportedEPS(t-6),reportedEPS(t-7),reportedEPS(t-8),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),surprise(t-6),surprise(t-7),surprise(t-8),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),Headline_score(t-6),Headline_score(t-7),Headline_score(t-8),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),RSI(t-6),RSI(t-7),RSI(t-8),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),InsiderFlow(t-6),InsiderFlow(t-7),InsiderFlow(t-8),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),sentiment(t-6),sentiment(t-7),sentiment(t-8)
2023-09-01,831100.0,0.02510638947234045,0.34,1.1384991910124531,0.3341697418363765,64.67066962549112,-0.0183790086113473,-1.0,1300700.0,729400.0,1514000.0,508600.0,931600.0,735700.0,1200700.0,935200.0,0.02085141323432782,0.005240211410442619,0.0319963527404572,0.0077202576187860306,-0.009446652664178212,-0.04139719576497447,0.032042778936385075,-0.011438637661091544,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.1655,1.193693650484452,1.2231509179881423,1.2539470621158777,1.3551913584435225,1.3921892710631751,1.4309725463454743,1.4716437743506088,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,58.281246321242435,52.8455317335186,50.160260132595475,41.65232872200333,41.9520667621062,38.16199386129308,41.737656093063094,32.88972370559111,-0.019862938715155484,-0.02156977309391872,-0.023539839956367166,-0.025815625322936252,-0.034682195404197626,-0.03808544642536308,-0.041238181922637916,-0.04355237421782794,7.0,-2.0,2.0,4.0,-2.0,-9.0,-15.0,-15.0
2023-09-04,831100.0,0.009439877642981931,0.34,1.0640093650453035,0.3341697418363765,65.50418149096055,-0.014938341115909144,0.0,831100.0,1300700.0,729400.0,1514000.0,508600.0,931600.0,735700.0,1200700.0,0.02510638947234045,0.02085141323432782,0.005240211410442619,0.0319963527404572,0.0077202576187860306,-0.009446652664178212,-0.04139719576497447,0.032042778936385075,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.1384991910124531,1.1655,1.193693650484452,1.2231509179881423,1.2539470621158777,1.3551913584435225,1.3921892710631751,1.4309725463454743,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,64.67066962549112,58.281246321242435,52.8455317335186,50.160260132595475,41.65232872200333,41.9520667621062,38.16199386129308,41.737656093063094,-0.0183790086113473,-0.019862938715155484,-0.02156977309391872,-0.023539839956367166,-0.025815625322936252,-0.034682195404197626,-0.03808544642536308,-0.041238181922637916,-1.0,7.0,-2.0,2.0,4.0,-2.0,-9.0,-15.0
2023-09-05,775400.0,-0.0062266341863765895,0.34,1.0411551141878814,0.3341697418363765,55.32320866940501,-0.014045218659779252,-2.0,831100.0,831100.0,1300700.0,729400.0,1514000.0,508600.0,931600.0,735700.0,0.009439877642981931,0.02510638947234045,0.02085141323432782,0.005240211410442619,0.0319963527404572,0.0077202576187860306,-0.009446652664178212,-0.04139719576497447,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.0640093650453035,1.1384991910124531,1.1655,1.193693650484452,1.2231509179881423,1.2539470621158777,1.3551913584435225,1.3921892710631751,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,65.50418149096055,64.67066962549112,58.281246321242435,52.8455317335186,50.160260132595475,41.65232872200333,41.9520667621062,38.16199386129308,-0.014938341115909144,-0.0183790086113473,-0.019862938715155484,-0.02156977309391872,-0.023539839956367166,-0.025815625322936252,-0.034682195404197626,-0.03808544642536308,0.0,-1.0,7.0,-2.0,2.0,4.0,-2.0,-9.0
2023-09-06,715348.0,0.003759404782460507,0.34,1.0192001838235127,0.3341697418363765,61.224494562349385,-0.013247848385063894,-7.0,775400.0,831100.0,831100.0,1300700.0,729400.0,1514000.0,508600.0,931600.0,-0.0062266341863765895,0.009439877642981931,0.02510638947234045,0.02085141323432782,0.005240211410442619,0.0319963527404572,0.0077202576187860306,-0.009446652664178212,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.0411551141878814,1.0640093650453035,1.1384991910124531,1.1655,1.193693650484452,1.2231509179881423,1.2539470621158777,1.3551913584435225,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,0.3341697418363765,55.32320866940501,65.50418149096055,64.67066962549112,58.281246321242435,52.8455317335186,50.160260132595475,41.65232872200333,41.9520667621062,-0.014045218659779252,-0.014938341115909144,-0.0183790086113473,-0.019862938715155484,-0.02156977309391872,-0.023539839956367166,-0.025815625322936252,-0.034682195404197626,-2.0,0.0,-1.0,7.0,-2.0,2.0,4.0,-2.0
