Date,Close,Volume,Value,RSI,reportedEPS,surprise,Value,Value,Value,Value,Value,Value,InsiderFlow,sentiment,Headline_score,Headline_score,Close_Tmr
2016-01-04,-0.03400216581876081,12037200.0,30.0,34.63924958623247,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.10401835856000001,0.0,-0.09993467860000001,-0.007117390800000001,-0.009533166398750903
2016-01-05,-0.009533166398750903,10514200.0,76.0,24.894627408491843,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,-0.986042442,-0.007117390800000001,0.01752222134470105
2016-01-06,0.01752222134470105,12393800.0,51.0,29.644285300698087,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,-0.986042442,-0.007117390800000001,-0.018918256379409804
2016-01-07,-0.018918256379409804,11312900.0,39.0,18.42113161344004,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,7.40522e-05,1.632e-05,-0.0019779140335501877
2016-01-08,-0.0019779140335501877,8853100.0,44.0,18.14820427341496,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,1.632e-05,-0.0019779140335501877
2016-01-09,-0.0019779140335501877,8853100.0,11.0,18.14820427341496,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,1.632e-05,-0.0019779140335501877
2016-01-10,-0.0019779140335501877,8853100.0,16.0,18.14820427341496,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.024968547400000003,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,1.632e-05,0.017587428904820346
2016-01-11,0.017587428904820346,15877500.0,39.0,30.560654499337062,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,1.632e-05,0.022395286549036664
2016-01-12,0.022395286549036664,12636000.0,52.0,37.864044433597975,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,1.632e-05,-0.04523801897877011
2016-01-13,-0.04523801897877011,12718600.0,60.0,31.707354011841588,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,-0.0141632856,0.011221990815027283
2016-01-14,0.011221990815027283,11756500.0,40.0,37.804938733912664,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,-0.0141632856,-0.04414293315423168
2016-01-15,-0.04414293315423168,18924800.0,57.0,30.425362979464083,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9875153478,-0.0141632856,-0.04414293315423168
2016-01-16,-0.04414293315423168,18924800.0,28.0,30.425362979464083,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9931664064000001,-0.0141632856,-0.04414293315423168
2016-01-17,-0.04414293315423168,18924800.0,25.0,30.425362979464083,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0273502659,4.8,0.010452693,-0.0276747671,0.0,-0.9982218456,-0.0141632856,-0.04414293315423168
2016-01-18,-0.04414293315423168,18924800.0,38.0,36.093180672690714,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,0.0,-0.9982218456,-0.0141632856,0.0025798063877446875
2016-01-19,0.0025798063877446875,10505900.0,31.0,38.84407707956266,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,0.0,-0.9960483379,-0.0141632856,0.005146747109846306
2016-01-20,0.005146747109846306,16089100.0,47.0,34.34344365243406,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,0.0,-0.48251089290000004,0.0001780773,0.018689171437678898
2016-01-21,0.018689171437678898,9781700.0,64.0,45.20348929980584,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,0.0,0.9989406269000001,0.0001780773,0.009298698180914222
2016-01-22,0.009298698180914222,7247000.0,40.0,48.535576733228844,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,-7.0,-0.5261032133,0.0001780773,0.009298698180914222
2016-01-23,0.009298698180914222,7247000.0,11.0,48.535576733228844,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,-7.0,-0.2822149172,0.0001780773,0.009298698180914222
2016-01-24,0.009298698180914222,7247000.0,13.0,48.535576733228844,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,-0.0034623350000000004,4.8,0.010452693,-0.0276747671,-5.0,-1.0740200000000001e-05,0.0001780773,-0.031872468380316654
2016-01-25,-0.031872468380316654,10113200.0,50.0,35.788075781690964,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,-0.0276747671,-5.0,-1.0740200000000001e-05,0.0001780773,0.019547353305193527
2016-01-26,0.019547353305193527,8099000.0,57.0,34.432699128597704,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,-0.0276747671,-5.0,-0.9926940557,0.0001780773,0.0012614692309096398
2016-01-27,0.0012614692309096398,10186000.0,47.0,46.42236385770828,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,0.0,-5.0,0.9975557014,0.0001780773,-0.03905285833608085
2016-01-28,-0.03905285833608085,17112300.0,72.0,32.3571955822928,2.77,0.05,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,0.0,-3.0,-0.6497208978,0.0001780773,0.022286500018225075
2016-01-29,0.022286500018225075,20957500.0,100.0,51.952429812791166,2,0.03,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,0.0,-3.0,0.0011748536,0.0001780773,0.022286500018225075
2016-01-30,0.022286500018225075,20957500.0,12.0,51.952429812791166,2,0.03,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010452693,0.0,-2.0,0.9991459709,0.0001780773,0.022286500018225075
2016-01-31,0.022286500018225075,20957500.0,9.0,51.952429812791166,2,0.03,0.005085457000000001,-0.00045844360000000004,0.0065443795,0.0044160145,4.8,0.010405635100000001,0.0,-2.0,0.9991459709,0.0001780773,0.010002509302613038
