Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5)
2023-09-08,14312300.0,0.0,0.78,2.688938642436895,-0.48740260858176043,19.298256231031516,-0.19502278641606927,9.0,7.5200004578,0.0144927536,17628600.0,13922040.0,12474600.0,11257200.0,11257200.0,-0.007655595202170962,-0.0006800774224182682,-0.008261668526451937,-0.008476483652404165,-0.008691298778356393,0.78,0.78,0.78,0.78,0.78,2.7447569902472404,2.802792097104735,2.863167974478392,2.9260169757885444,3.1308633826565275,0.999252768306178,-0.00023525964934378862,0.07243178528733552,-0.13354236637242134,-0.3395165180321782,16.548808556924044,25.790253027625027,28.48307834231626,29.79937011057062,27.43865859388825,-0.20177624812230618,-0.20900594058862879,-0.2167630704745452,-0.22510628714798575,-0.2543814344872761,9.0,4.0,7.0,0.0,6.0
2023-09-11,14763520.0,0.00942909199593589,0.78,2.533657980270845,-0.24318058136123,33.611097919787625,-0.17719707924794442,10.0,7.5200004578,0.0144927536,14312300.0,17628600.0,13922040.0,12474600.0,11257200.0,0.0,-0.007655595202170962,-0.0006800774224182682,-0.008261668526451937,-0.008476483652404165,0.78,0.78,0.78,0.78,0.78,2.688938642436895,2.7447569902472404,2.802792097104735,2.863167974478392,2.9260169757885444,-0.48740260858176043,0.999252768306178,-0.00023525964934378862,0.07243178528733552,-0.13354236637242134,19.298256231031516,16.548808556924044,25.790253027625027,28.48307834231626,29.79937011057062,-0.19502278641606927,-0.20177624812230618,-0.20900594058862879,-0.2167630704745452,-0.22510628714798575,9.0,9.0,4.0,7.0,0.0
2023-09-12,12287500.0,-0.009850566026603613,0.78,2.4856150002997857,0.0010414458593004383,25.188893335599502,-0.17194981297214765,11.0,7.5200004578,0.0144927536,14763520.0,14312300.0,17628600.0,13922040.0,12474600.0,0.00942909199593589,0.0,-0.007655595202170962,-0.0006800774224182682,-0.008261668526451937,0.78,0.78,0.78,0.78,0.78,2.533657980270845,2.688938642436895,2.7447569902472404,2.802792097104735,2.863167974478392,-0.24318058136123,-0.48740260858176043,0.999252768306178,-0.00023525964934378862,0.07243178528733552,33.611097919787625,19.298256231031516,16.548808556924044,25.790253027625027,28.48307834231626,-0.17719707924794442,-0.19502278641606927,-0.20177624812230618,-0.20900594058862879,-0.2167630704745452,10.0,9.0,9.0,4.0,7.0
2023-09-13,11449492.25,0.0011630999324248048,0.78,2.439275843641861,-3.616347567003686e-05,27.536373122524495,-0.16700110870305968,8.0,7.5200004578,0.0144927536,12287500.0,14763520.0,14312300.0,17628600.0,13922040.0,-0.009850566026603613,0.00942909199593589,0.0,-0.007655595202170962,-0.0006800774224182682,0.78,0.78,0.78,0.78,0.78,2.4856150002997857,2.533657980270845,2.688938642436895,2.7447569902472404,2.802792097104735,0.0010414458593004383,-0.24318058136123,-0.48740260858176043,0.999252768306178,-0.00023525964934378862,25.188893335599502,33.611097919787625,19.298256231031516,16.548808556924044,25.790253027625027,-0.17194981297214765,-0.17719707924794442,-0.19502278641606927,-0.20177624812230618,-0.20900594058862879,11.0,10.0,9.0,9.0,4.0
2023-09-14,12311000.0,0.006332169693979095,0.78,2.3945561347900264,1.207150489790365e-06,29.17283342819141,-0.1623264521482766,6.0,7.5200004578,0.0144927536,11449492.25,12287500.0,14763520.0,14312300.0,17628600.0,0.0011630999324248048,-0.009850566026603613,0.00942909199593589,0.0,-0.007655595202170962,0.78,0.78,0.78,0.78,0.78,2.439275843641861,2.4856150002997857,2.533657980270845,2.688938642436895,2.7447569902472404,-3.616347567003686e-05,0.0010414458593004383,-0.24318058136123,-0.48740260858176043,0.999252768306178,27.536373122524495,25.188893335599502,33.611097919787625,19.298256231031516,16.548808556924044,-0.16700110870305968,-0.17194981297214765,-0.17719707924794442,-0.19502278641606927,-0.20177624812230618,8.0,11.0,10.0,9.0,9.0
2023-09-15,55690500.0,-0.008894978890349292,0.78,2.351376627718785,-0.02182873076526448,22.857228032221116,-0.15790391374386797,4.0,7.5200004578,0.0144927536,12311000.0,11449492.25,12287500.0,14763520.0,14312300.0,0.006332169693979095,0.0011630999324248048,-0.009850566026603613,0.00942909199593589,0.0,0.78,0.78,0.78,0.78,0.78,2.3945561347900264,2.439275843641861,2.4856150002997857,2.533657980270845,2.688938642436895,1.207150489790365e-06,-3.616347567003686e-05,0.0010414458593004383,-0.24318058136123,-0.48740260858176043,29.17283342819141,27.536373122524495,25.188893335599502,33.611097919787625,19.298256231031516,-0.1623264521482766,-0.16700110870305968,-0.17194981297214765,-0.17719707924794442,-0.19502278641606927,6.0,8.0,11.0,10.0,9.0
