Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,volOI,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-20,5934600.0,-0.021260889677107597,0.33,0.06942730401608402,-0.9265619764955773,14.74100315913968,-0.010496103979579821,2,18.833333333333332,-0.026650326800000002,1.45,6518400.0,7075350.0,14009000.0,7864350.0,6328200.0,-0.012595813108548293,0.005322024075546938,-0.02417619037283003,0.004316577069754413,-0.0008985274109514219,0.33,0.33,0.33,0.33,0.33,0.07209618996020146,0.07497840932672328,0.08519559430486194,0.0892492934339906,0.09370784095522189,-0.881259282665269,-0.8359565888349607,-0.7906538950046524,-0.3432932802606956,0.10406733448326122,27.709170142574564,41.43221957426404,45.99058651468053,63.295456565276496,43.15788400720088,-0.011591007803052698,-0.012728395695668672,-0.014843732600000001,-0.0338889234,-0.012638099899825478,3.0,2.0,0.0,1.0,1.0,1.87,1.685,2.23,-1.94,-3.13
2023-09-21,18074600.0,-0.02077821123263368,0.33,0.06694891655368117,-0.9718646703258855,13.325300939586782,-0.00950272604331107,-1,18.833333333333332,-0.026650326800000002,-0.2414285714,5934600.0,6518400.0,7075350.0,14009000.0,7864350.0,-0.021260889677107597,-0.012595813108548293,0.005322024075546938,-0.02417619037283003,0.004316577069754413,0.33,0.33,0.33,0.33,0.33,0.06942730401608402,0.07209618996020146,0.07497840932672328,0.08519559430486194,0.0892492934339906,-0.9265619764955773,-0.881259282665269,-0.8359565888349607,-0.7906538950046524,-0.3432932802606956,14.74100315913968,27.709170142574564,41.43221957426404,45.99058651468053,63.295456565276496,-0.010496103979579821,-0.011591007803052698,-0.012728395695668672,-0.014843732600000001,-0.0338889234,2.0,3.0,2.0,0.0,1.0,1.45,1.87,1.685,2.23,-1.94
2023-09-22,8548500.0,0.008873439103369574,0.33,0.06464133864916617,-0.9718646703258855,17.92234253961017,-0.008627744324473267,2,18.833333333333332,-0.026650326800000002,-0.17500000000000002,18074600.0,5934600.0,6518400.0,7075350.0,14009000.0,-0.02077821123263368,-0.021260889677107597,-0.012595813108548293,0.005322024075546938,-0.02417619037283003,0.33,0.33,0.33,0.33,0.33,0.06694891655368117,0.06942730401608402,0.07209618996020146,0.07497840932672328,0.08519559430486194,-0.9718646703258855,-0.9265619764955773,-0.881259282665269,-0.8359565888349607,-0.7906538950046524,13.325300939586782,14.74100315913968,27.709170142574564,41.43221957426404,45.99058651468053,-0.00950272604331107,-0.010496103979579821,-0.011591007803052698,-0.012728395695668672,-0.014843732600000001,-1.0,2.0,3.0,2.0,0.0,-0.2414285714,1.45,1.87,1.685,2.23
2023-09-25,6441700.0,0.006309786536685902,0.33,0.058583453032324054,-0.9718646703258855,20.97129164599255,-0.006638319026685939,3,18.833333333333332,-0.026650326800000002,-2.682,8548500.0,18074600.0,5934600.0,6518400.0,7075350.0,0.008873439103369574,-0.02077821123263368,-0.021260889677107597,-0.012595813108548293,0.005322024075546938,0.33,0.33,0.33,0.33,0.33,0.06464133864916617,0.06694891655368117,0.06942730401608402,0.07209618996020146,0.07497840932672328,-0.9718646703258855,-0.9718646703258855,-0.9265619764955773,-0.881259282665269,-0.8359565888349607,17.92234253961017,13.325300939586782,14.74100315913968,27.709170142574564,41.43221957426404,-0.008627744324473267,-0.00950272604331107,-0.010496103979579821,-0.011591007803052698,-0.012728395695668672,2.0,-1.0,2.0,3.0,2.0,-0.17500000000000002,-0.2414285714,1.45,1.87,1.685
2023-09-26,7038300.0,-0.017480561751307744,0.33,0.05680879271098425,-0.9718646703258855,21.59089431236322,-0.006142380254299469,0,18.833333333333332,-0.026650326800000002,0.05,6441700.0,8548500.0,18074600.0,5934600.0,6518400.0,0.006309786536685902,0.008873439103369574,-0.02077821123263368,-0.021260889677107597,-0.012595813108548293,0.33,0.33,0.33,0.33,0.33,0.058583453032324054,0.06464133864916617,0.06694891655368117,0.06942730401608402,0.07209618996020146,-0.9718646703258855,-0.9718646703258855,-0.9718646703258855,-0.9265619764955773,-0.881259282665269,20.97129164599255,17.92234253961017,13.325300939586782,14.74100315913968,27.709170142574564,-0.006638319026685939,-0.008627744324473267,-0.00950272604331107,-0.010496103979579821,-0.011591007803052698,3.0,2.0,-1.0,2.0,3.0,-2.682,-0.17500000000000002,-0.2414285714,1.45,1.87
2023-09-27,7647900.0,0.01624444338542097,0.33,0.05513847391632921,-0.9718646703258855,28.81175969857206,-0.0057091279230769235,2,18.833333333333332,-0.026650326800000002,0.0185695338,7038300.0,6441700.0,8548500.0,18074600.0,5934600.0,-0.017480561751307744,0.006309786536685902,0.008873439103369574,-0.02077821123263368,-0.021260889677107597,0.33,0.33,0.33,0.33,0.33,0.05680879271098425,0.058583453032324054,0.06464133864916617,0.06694891655368117,0.06942730401608402,-0.9718646703258855,-0.9718646703258855,-0.9718646703258855,-0.9718646703258855,-0.9265619764955773,21.59089431236322,20.97129164599255,17.92234253961017,13.325300939586782,14.74100315913968,-0.006142380254299469,-0.006638319026685939,-0.008627744324473267,-0.00950272604331107,-0.010496103979579821,0.0,3.0,2.0,-1.0,2.0,0.05,-2.682,-0.17500000000000002,-0.2414285714,1.45
