Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5)
2023-09-05,38265300.0,0.0007215910939053494,2.7,22.055994983753287,0.12054332884670454,61.8754037839132,-0.00037999682,2.0,121.6991577148,0.1111111111,46319100.0,46319100.0,52857000.0,73520600.0,70139700.0,-0.008209756235380894,-0.017141103564667137,0.0018471360781553425,0.009839329178690903,0.041614156038022765,2.7,2.7,2.7,2.7,2.7,22.790905593689946,25.027303025601743,25.752882352941175,26.448404833785812,27.09907778619171,0.3326233902153035,0.024722554870095337,0.06239793304030172,0.20003749146962946,0.5973717460292391,62.484167144020354,63.07379491492669,70.27194816888131,70.51061134611484,69.31675251582406,-0.00021722875718681238,-0.00025333008666666664,-0.028477861494011214,-0.030075973839908586,-0.030671595500000003,0.0,2.0,2.0,2.0,1.0
2023-09-06,46782300.0,-0.03054970047897254,2.7,21.337017692097323,-0.9948328308237251,52.05454599119396,-0.0002235319529411765,2.0,121.6991577148,0.1111111111,38265300.0,46319100.0,46319100.0,52857000.0,73520600.0,0.0007215910939053494,-0.008209756235380894,-0.017141103564667137,0.0018471360781553425,0.009839329178690903,2.7,2.7,2.7,2.7,2.7,22.055994983753287,22.790905593689946,25.027303025601743,25.752882352941175,26.448404833785812,0.12054332884670454,0.3326233902153035,0.024722554870095337,0.06239793304030172,0.20003749146962946,61.8754037839132,62.484167144020354,63.07379491492669,70.27194816888131,70.51061134611484,-0.00037999682,-0.00021722875718681238,-0.00025333008666666664,-0.028477861494011214,-0.030075973839908586,2.0,0.0,2.0,2.0,2.0
2023-09-07,43333000.0,-0.01742415576535994,2.7,20.638042779779287,-0.19930681336263661,47.322977959495695,-0.00038000139,2.0,121.6991577148,0.1111111111,46782300.0,38265300.0,46319100.0,46319100.0,52857000.0,-0.03054970047897254,0.0007215910939053494,-0.008209756235380894,-0.017141103564667137,0.0018471360781553425,2.7,2.7,2.7,2.7,2.7,21.337017692097323,22.055994983753287,22.790905593689946,25.027303025601743,25.752882352941175,-0.9948328308237251,0.12054332884670454,0.3326233902153035,0.024722554870095337,0.06239793304030172,52.05454599119396,61.8754037839132,62.484167144020354,63.07379491492669,70.27194816888131,-0.0002235319529411765,-0.00037999682,-0.00021722875718681238,-0.00025333008666666664,-0.028477861494011214,2.0,2.0,0.0,2.0,2.0
2023-09-08,47306900.0,-0.014467685362379412,2.7,19.96191615220782,0.0519574732903493,43.732590682025624,-0.00037262201976968884,2.0,121.6991577148,0.1111111111,43333000.0,46782300.0,38265300.0,46319100.0,46319100.0,-0.01742415576535994,-0.03054970047897254,0.0007215910939053494,-0.008209756235380894,-0.017141103564667137,2.7,2.7,2.7,2.7,2.7,20.638042779779287,21.337017692097323,22.055994983753287,22.790905593689946,25.027303025601743,-0.19930681336263661,-0.9948328308237251,0.12054332884670454,0.3326233902153035,0.024722554870095337,47.322977959495695,52.05454599119396,61.8754037839132,62.484167144020354,63.07379491492669,-0.00038000139,-0.0002235319529411765,-0.00037999682,-0.00021722875718681238,-0.00025333008666666664,2.0,2.0,2.0,0.0,2.0
2023-09-11,47323600.0,-0.008645664949631815,2.7,18.085309993040443,0.2502744008200655,47.60368252311088,-0.00023392740625000001,2.0,121.6991577148,0.1111111111,47306900.0,43333000.0,46782300.0,38265300.0,46319100.0,-0.014467685362379412,-0.01742415576535994,-0.03054970047897254,0.0007215910939053494,-0.008209756235380894,2.7,2.7,2.7,2.7,2.7,19.96191615220782,20.638042779779287,21.337017692097323,22.055994983753287,22.790905593689946,0.0519574732903493,-0.19930681336263661,-0.9948328308237251,0.12054332884670454,0.3326233902153035,43.732590682025624,47.322977959495695,52.05454599119396,61.8754037839132,62.484167144020354,-0.00037262201976968884,-0.00038000139,-0.0002235319529411765,-0.00037999682,-0.00021722875718681238,2.0,2.0,2.0,2.0,0.0
2023-09-12,34857300.0,-0.006817447829966072,2.7,17.51196,-0.2115623102781683,37.63761709063442,-0.00022938469408324938,2.0,121.6991577148,0.1111111111,47323600.0,47306900.0,43333000.0,46782300.0,38265300.0,-0.008645664949631815,-0.014467685362379412,-0.01742415576535994,-0.03054970047897254,0.0007215910939053494,2.7,2.7,2.7,2.7,2.7,18.085309993040443,19.96191615220782,20.638042779779287,21.337017692097323,22.055994983753287,0.2502744008200655,0.0519574732903493,-0.19930681336263661,-0.9948328308237251,0.12054332884670454,47.60368252311088,43.732590682025624,47.322977959495695,52.05454599119396,61.8754037839132,-0.00023392740625000001,-0.00037262201976968884,-0.00038000139,-0.0002235319529411765,-0.00037999682,2.0,2.0,2.0,2.0,2.0
