Date,Volume,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS,surprise,Headline_score,Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI,RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow,InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment,Target,GradeChange,volOI,volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-21,5510700.0,-0.021441369308869418,0.0017900170771503188,-0.018735345213148236,-0.009280733731255153,-0.00862562528868005,0.022891007265839702,0.21,-0.05565501144249356,-0.49863032940629637,-0.6649423596827546,-0.8312543899592129,-0.9975664202356711,-0.48976977361326135,0.018026873009148403,24.46066536763489,27.54434301595461,23.913055332290952,27.294056175718467,37.01463061915939,37.156543049773234,0.13122274579581933,0.13489800386292028,0.1387827794471789,0.1428952966541594,0.15681574420319094,0.1620696087861346,4,5.5699996948,-0.1153846154,-0.1933987899,-0.2254994457,-0.2703363035,-0.3373176075,-1.2590143928,-3.39
2023-09-22,6984700.0,-0.028606223879131476,-0.021441369308869418,0.0017900170771503188,-0.018735345213148236,-0.009280733731255153,-0.00862562528868005,0.21,-0.0545420731120988,-0.3323182991298381,-0.49863032940629637,-0.6649423596827546,-0.8312543899592129,-0.9975664202356711,-0.48976977361326135,22.529554667325073,24.46066536763489,27.54434301595461,23.913055332290952,27.294056175718467,37.01463061915939,0.1277406562400397,0.13122274579581933,0.13489800386292028,0.1387827794471789,0.1428952966541594,0.15681574420319094,1,5.5699996948,-0.1153846154,-0.1692885214,-0.1933987899,-0.2254994457,-0.2703363035,-0.3373176075,-1.2590143928
2023-09-25,7299600.0,0.01754384287699029,-0.028606223879131476,-0.021441369308869418,0.0017900170771503188,-0.018735345213148236,-0.009280733731255153,0.21,-0.051455193436067526,-0.16600626885337988,-0.3323182991298381,-0.49863032940629637,-0.6649423596827546,-0.8312543899592129,-0.9975664202356711,31.00263868118138,22.529554667325073,24.46066536763489,27.54434301595461,23.913055332290952,27.294056175718467,0.11831337607648484,0.1277406562400397,0.13122274579581933,0.13489800386292028,0.1387827794471789,0.1428952966541594,1,5.5699996948,-0.1153846154,-0.1231913054,-0.1692885214,-0.1933987899,-0.2254994457,-0.2703363035,-0.3373176075
2023-09-26,6904400.0,-0.023399022153712146,0.01754384287699029,-0.028606223879131476,-0.021441369308869418,0.0017900170771503188,-0.018735345213148236,0.21,-0.05050243821730887,0.0003057614230783656,-0.16600626885337988,-0.3323182991298381,-0.49863032940629637,-0.6649423596827546,-0.8312543899592129,27.751538108700004,31.00263868118138,22.529554667325073,24.46066536763489,27.54434301595461,23.913055332290952,0.1154704920304243,0.11831337607648484,0.1277406562400397,0.13122274579581933,0.13489800386292028,0.1387827794471789,-2,5.5699996948,-0.1153846154,-0.1129372745,-0.1231913054,-0.1692885214,-0.1933987899,-0.2254994457,-0.2703363035
2023-09-27,6600800.0,0.004413660152240206,-0.023399022153712146,0.01754384287699029,-0.028606223879131476,-0.021441369308869418,0.0017900170771503188,0.21,-0.04958432234297684,-0.9950378084904514,0.0003057614230783656,-0.16600626885337988,-0.3323182991298381,-0.49863032940629637,-0.6649423596827546,33.21901662649644,27.751538108700004,31.00263868118138,22.529554667325073,24.46066536763489,27.54434301595461,0.11276007589773086,0.1154704920304243,0.11831337607648484,0.1277406562400397,0.13122274579581933,0.13489800386292028,-1,5.5699996948,-0.1153846154,-0.1042583509,-0.1129372745,-0.1231913054,-0.1692885214,-0.1933987899,-0.2254994457
2023-09-28,10087800.0,-0.06591338170941663,0.004413660152240206,-0.023399022153712146,0.01754384287699029,-0.028606223879131476,-0.021441369308869418,0.21,-0.04869899057182802,-0.996685286227148,-0.9950378084904514,0.0003057614230783656,-0.16600626885337988,-0.3323182991298381,-0.49863032940629637,19.579982087371775,33.21901662649644,27.751538108700004,31.00263868118138,22.529554667325073,24.46066536763489,0.11017314235098875,0.11276007589773086,0.1154704920304243,0.11831337607648484,0.1277406562400397,0.13122274579581933,-7,5.5699996948,-0.1153846154,-0.10402743511062622,-0.1042583509,-0.1129372745,-0.1231913054,-0.1692885214,-0.1933987899
