Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,volOI,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-20,3089800.0,-0.01373389218192278,1.74,1.578237952646034,-0.004976661701221019,75.20239637164711,-0.10103323292991769,-3,10.0999984741,0.6000000000000001,1.15,3844000.0,3523600.0,6092400.0,5116575.0,2658043.2,0.01084598674533166,-0.0020204847419524885,-0.02627884556432558,0.009906129491736637,-0.0037891327354361293,1.74,1.74,1.74,1.74,1.74,1.6612224223677496,1.7534128188721352,2.103581807162469,2.2535713431221684,2.426567634226711,0.5003364781332493,0.6660954146937001,0.0001680878376646433,-0.4969976064730872,-0.9941633007838391,78.66535580484751,75.45679290592436,73.82263235786012,80.50271897733327,78.28696525509146,-0.10783494519321733,-0.11553592203846155,-0.14588392997147942,-0.15920818215295413,-0.17460011565179492,-5.0,-9.0,-8.0,-7.0,-3.0,0.33773476,0.3937925423,0.7824092229,1.16100752,2.198632804
2023-09-21,3898800.0,-0.007252683236049551,1.74,1.503146595936134,-0.4247291299980134,50.9093542940586,-0.09499273295438744,-4,10.0999984741,0.6000000000000001,-1.225,3089800.0,3844000.0,3523600.0,6092400.0,5116575.0,-0.01373389218192278,0.01084598674533166,-0.0020204847419524885,-0.02627884556432558,0.009906129491736637,1.74,1.74,1.74,1.74,1.74,1.578237952646034,1.6612224223677496,1.7534128188721352,2.103581807162469,2.2535713431221684,-0.004976661701221019,0.5003364781332493,0.6660954146937001,0.0001680878376646433,-0.4969976064730872,75.20239637164711,78.66535580484751,75.45679290592436,73.82263235786012,80.50271897733327,-0.10103323292991769,-0.10783494519321733,-0.11553592203846155,-0.14588392997147942,-0.15920818215295413,-3.0,-5.0,-9.0,-8.0,-7.0,1.15,0.33773476,0.3937925423,0.7824092229,1.16100752
2023-09-22,4494700.0,0.023524262900632475,1.74,1.434873741189047,-0.8444815982948057,56.221019505594306,-0.08959983851774125,-6,9.9499969482,0.1428571429,1.37,3898800.0,3089800.0,3844000.0,3523600.0,6092400.0,-0.007252683236049551,-0.01373389218192278,0.01084598674533166,-0.0020204847419524885,-0.02627884556432558,1.74,1.74,1.74,1.74,1.74,1.503146595936134,1.578237952646034,1.6612224223677496,1.7534128188721352,2.103581807162469,-0.4247291299980134,-0.004976661701221019,0.5003364781332493,0.6660954146937001,0.0001680878376646433,50.9093542940586,75.20239637164711,78.66535580484751,75.45679290592436,73.82263235786012,-0.09499273295438744,-0.10103323292991769,-0.10783494519321733,-0.11553592203846155,-0.14588392997147942,-4.0,-3.0,-5.0,-9.0,-8.0,-1.225,1.15,0.33773476,0.3937925423,0.7824092229
2023-09-25,3643700.0,-0.0002855713288999473,1.74,1.2627947674625182,-0.9198738107515965,56.312959523719094,-0.07644810676069785,-4,4.9700012207,0.10294117650000001,0.1810642965,4494700.0,3898800.0,3089800.0,3844000.0,3523600.0,0.023524262900632475,-0.007252683236049551,-0.01373389218192278,0.01084598674533166,-0.0020204847419524885,1.74,1.74,1.74,1.74,1.74,1.434873741189047,1.503146595936134,1.578237952646034,1.6612224223677496,1.7534128188721352,-0.8444815982948057,-0.4247291299980134,-0.004976661701221019,0.5003364781332493,0.6660954146937001,56.221019505594306,50.9093542940586,75.20239637164711,78.66535580484751,75.45679290592436,-0.08959983851774125,-0.09499273295438744,-0.10103323292991769,-0.10783494519321733,-0.11553592203846155,-6.0,-4.0,-3.0,-5.0,-9.0,1.37,-1.225,1.15,0.33773476,0.3937925423
2023-09-26,3214200.0,-0.015707532390337398,1.74,1.2142521060829887,-0.9952660232083872,44.50628079927191,-0.072856100370943,-6,4.9700012207,0.10294117650000001,0.1363200951,3643700.0,4494700.0,3898800.0,3089800.0,3844000.0,-0.0002855713288999473,0.023524262900632475,-0.007252683236049551,-0.01373389218192278,0.01084598674533166,1.74,1.74,1.74,1.74,1.74,1.2627947674625182,1.434873741189047,1.503146595936134,1.578237952646034,1.6612224223677496,-0.9198738107515965,-0.8444815982948057,-0.4247291299980134,-0.004976661701221019,0.5003364781332493,56.312959523719094,56.221019505594306,50.9093542940586,75.20239637164711,78.66535580484751,-0.07644810676069785,-0.08959983851774125,-0.09499273295438744,-0.10103323292991769,-0.10783494519321733,-4.0,-6.0,-4.0,-3.0,-5.0,0.1810642965,1.37,-1.225,1.15,0.33773476
2023-09-27,5515300.0,-0.014217370558462172,1.74,1.1693024300969368,-0.9952660232083872,46.18686171138099,-0.06957727708187869,-4,4.9700012207,0.10294117650000001,2.21,3214200.0,3643700.0,4494700.0,3898800.0,3089800.0,-0.015707532390337398,-0.0002855713288999473,0.023524262900632475,-0.007252683236049551,-0.01373389218192278,1.74,1.74,1.74,1.74,1.74,1.2142521060829887,1.2627947674625182,1.434873741189047,1.503146595936134,1.578237952646034,-0.9952660232083872,-0.9198738107515965,-0.8444815982948057,-0.4247291299980134,-0.004976661701221019,44.50628079927191,56.312959523719094,56.221019505594306,50.9093542940586,75.20239637164711,-0.072856100370943,-0.07644810676069785,-0.08959983851774125,-0.09499273295438744,-0.10103323292991769,-6.0,-4.0,-6.0,-4.0,-3.0,0.1363200951,0.1810642965,1.37,-1.225,1.15
