Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5)
2023-09-12,6302400.0,-0.0400406659414293,0.79,0.7897139474104489,0.45420394211693993,55.74469618630021,-0.11285817330167149,-3.0,1.3400001526,0.27659574470000003,4608600.0,7177000.0,3564500.0,4024500.0,3240800.0,0.004773248892403714,0.024628818295196586,0.015070894523108391,-0.00035442473677727016,-0.02623404373191618,0.79,0.79,0.79,0.79,0.79,0.8052475060008238,0.8555112388211371,0.8736001575630109,0.8924186693038983,0.9120080271816886,0.45420394211693993,0.45420394211693993,0.2080390741386688,-0.038125793839602316,-0.02539795182191382,73.75232513400645,73.63047141160774,70.23062540339826,68.54930319455944,59.348019612545905,-0.12197039716339557,-0.1585234752427367,-0.17460011562840316,-0.19285213107583524,-0.21296955141490823,-3.0,-4.0,-5.0,-8.0,-8.0
2023-09-13,5543582.5,-0.0250972248859046,0.79,0.7747394671713083,0.45420394211693993,55.18113519795199,-0.10489773050000001,-4.0,1.3400001526,0.27659574470000003,6302400.0,4608600.0,7177000.0,3564500.0,4024500.0,-0.0400406659414293,0.004773248892403714,0.024628818295196586,0.015070894523108391,-0.00035442473677727016,0.79,0.79,0.79,0.79,0.79,0.7897139474104489,0.8052475060008238,0.8555112388211371,0.8736001575630109,0.8924186693038983,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.2080390741386688,-0.038125793839602316,55.74469618630021,73.75232513400645,73.63047141160774,70.23062540339826,68.54930319455944,-0.11285817330167149,-0.12197039716339557,-0.1585234752427367,-0.17460011562840316,-0.19285213107583524,-3.0,-3.0,-4.0,-5.0,-8.0
2023-09-14,5495600.0,-0.007251676464660628,0.79,0.7602960503372458,0.45420394211693993,48.83719898643077,-0.09790583586284769,-1.0,6.2400016785,-0.0317460317,5543582.5,6302400.0,4608600.0,7177000.0,3564500.0,-0.0250972248859046,-0.0400406659414293,0.004773248892403714,0.024628818295196586,0.015070894523108391,0.79,0.79,0.79,0.79,0.79,0.7747394671713083,0.7897139474104489,0.8052475060008238,0.8555112388211371,0.8736001575630109,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.2080390741386688,55.18113519795199,55.74469618630021,73.75232513400645,73.63047141160774,70.23062540339826,-0.10489773050000001,-0.11285817330167149,-0.12197039716339557,-0.1585234752427367,-0.17460011562840316,-4.0,-3.0,-3.0,-4.0,-5.0
2023-09-15,6097400.0,-0.0054784376587939665,0.79,0.7463573979700256,0.45420394211693993,44.92222619339991,-0.09173040429709937,-2.0,6.2400016785,-0.0317460317,5495600.0,5543582.5,6302400.0,4608600.0,7177000.0,-0.007251676464660628,-0.0250972248859046,-0.0400406659414293,0.004773248892403714,0.024628818295196586,0.79,0.79,0.79,0.79,0.79,0.7602960503372458,0.7747394671713083,0.7897139474104489,0.8052475060008238,0.8555112388211371,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.45420394211693993,48.83719898643077,55.18113519795199,55.74469618630021,73.75232513400645,73.63047141160774,-0.09790583586284769,-0.10489773050000001,-0.11285817330167149,-0.12197039716339557,-0.1585234752427367,-1.0,-4.0,-3.0,-3.0,-4.0
2023-09-18,2859200.0,-0.0012853414630320525,0.79,0.707330372667229,0.45420394211693993,37.92048703714162,-0.07695637822662743,-2.0,6.2400016785,-0.0317460317,6097400.0,5495600.0,5543582.5,6302400.0,4608600.0,-0.0054784376587939665,-0.007251676464660628,-0.0250972248859046,-0.0400406659414293,0.004773248892403714,0.79,0.79,0.79,0.79,0.79,0.7463573979700256,0.7602960503372458,0.7747394671713083,0.7897139474104489,0.8052475060008238,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.45420394211693993,0.45420394211693993,44.92222619339991,48.83719898643077,55.18113519795199,55.74469618630021,73.75232513400645,-0.09173040429709937,-0.09790583586284769,-0.10489773050000001,-0.11285817330167149,-0.12197039716339557,-2.0,-1.0,-4.0,-3.0,-3.0
