Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5)
2023-09-12,5042540.0,-0.003690033333662357,0.03,137.43261250541286,0.5492723500428838,58.72093442188284,-0.15072649664999999,-9.0,3.6599998474,0.0714285714,5330820.0,4874700.0,4420300.0,5866420.0,9895100.0,0.009311022684477921,0.0,-0.004633937995973336,-0.002772618645675018,-0.026102607638256003,0.03,0.03,0.03,0.03,0.03,140.44937663535669,150.2820434956873,153.84615384615384,157.5677194316671,161.45608263051741,2.6597659598337486e-05,0.05858983649383898,0.4995935786355403,-0.9961975523037836,-0.9578541601429327,62.77777748444453,60.23390116904387,63.24323432578713,68.18182037304813,65.21738929951754,-0.045390343037765526,-0.06079794832699533,-0.0658308379959569,-0.06952511380961773,-0.07090198240000001,-10.0,-5.0,-3.0,-4.0,0.0
2023-09-13,4425943.0,-0.016435207848685685,0.03,134.5345587992625,-0.04788793166933049,57.142857142048946,-0.1477994899295822,-5.0,3.6599998474,0.0714285714,5042540.0,5330820.0,4874700.0,4420300.0,5866420.0,-0.003690033333662357,0.009311022684477921,0.0,-0.004633937995973336,-0.002772618645675018,0.03,0.03,0.03,0.03,0.03,137.43261250541286,140.44937663535669,150.2820434956873,153.84615384615384,157.5677194316671,0.5492723500428838,2.6597659598337486e-05,0.05858983649383898,0.4995935786355403,-0.9961975523037836,58.72093442188284,62.77777748444453,60.23390116904387,63.24323432578713,68.18182037304813,-0.15072649664999999,-0.045390343037765526,-0.06079794832699533,-0.0658308379959569,-0.06952511380961773,-9.0,-10.0,-5.0,-3.0,-4.0
2023-09-14,6468500.0,-0.004942362747253903,0.03,131.74886252731764,-0.7025291905680205,50.909082499837645,-0.13994603883832013,-3.0,3.6599998474,0.0714285714,4425943.0,5042540.0,5330820.0,4874700.0,4420300.0,-0.016435207848685685,-0.003690033333662357,0.009311022684477921,0.0,-0.004633937995973336,0.03,0.03,0.03,0.03,0.03,134.5345587992625,137.43261250541286,140.44937663535669,150.2820434956873,153.84615384615384,-0.04788793166933049,0.5492723500428838,2.6597659598337486e-05,0.05858983649383898,0.4995935786355403,57.142857142048946,58.72093442188284,62.77777748444453,60.23390116904387,63.24323432578713,-0.1477994899295822,-0.15072649664999999,-0.045390343037765526,-0.06079794832699533,-0.0658308379959569,-5.0,-9.0,-10.0,-5.0,-3.0
2023-09-15,8987000.0,0.009460774303446273,0.03,129.06957111525543,-0.046745935828948856,53.44827113793297,-0.1292469045948105,-6.0,3.6599998474,0.0714285714,6468500.0,4425943.0,5042540.0,5330820.0,4874700.0,-0.004942362747253903,-0.016435207848685685,-0.003690033333662357,0.009311022684477921,0.0,0.03,0.03,0.03,0.03,0.03,131.74886252731764,134.5345587992625,137.43261250541286,140.44937663535669,150.2820434956873,-0.7025291905680205,-0.04788793166933049,0.5492723500428838,2.6597659598337486e-05,0.05858983649383898,50.909082499837645,57.142857142048946,58.72093442188284,62.77777748444453,60.23390116904387,-0.13994603883832013,-0.1477994899295822,-0.15072649664999999,-0.045390343037765526,-0.06079794832699533,-3.0,-5.0,-9.0,-10.0,-5.0
2023-09-18,5409300.0,-0.006560421208944733,0.03,121.61606951727865,1.2014286767225713e-05,34.328357147805775,-0.09649275177141048,-6.0,3.6599998474,0.0714285714,8987000.0,6468500.0,4425943.0,5042540.0,5330820.0,0.009460774303446273,-0.004942362747253903,-0.016435207848685685,-0.003690033333662357,0.009311022684477921,0.03,0.03,0.03,0.03,0.03,129.06957111525543,131.74886252731764,134.5345587992625,137.43261250541286,140.44937663535669,-0.046745935828948856,-0.7025291905680205,-0.04788793166933049,0.5492723500428838,2.6597659598337486e-05,53.44827113793297,50.909082499837645,57.142857142048946,58.72093442188284,62.77777748444453,-0.1292469045948105,-0.13994603883832013,-0.1477994899295822,-0.15072649664999999,-0.045390343037765526,-6.0,-3.0,-5.0,-9.0,-10.0
