Date,Volume,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS,surprise,Headline_score,Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI,RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow,InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment,Target,GradeChange,volOI,volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-22,3971000.0,-0.00924498380728822,-0.051169645275091824,-0.027027034357962054,0.018840596030968992,-0.004328965895976311,-0.029411770604540255,-0.26,-0.3103282230720016,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,30.817613455933966,31.21019398300014,38.28126309563997,44.54546163669174,33.02753056266205,52.38094156754326,-0.025615058654899676,-0.02781617619109086,-0.030356755858549,-0.03329158722900229,-0.03666784979786897,-0.04911463293894968,-8,-6.5200004578,0.5,5.515,0.26168416580000003,0.38830994760000004,0.7353535392,1.98,-3.81
2023-09-25,2777300.0,-0.006220834041323786,-0.00924498380728822,-0.051169645275091824,-0.027027034357962054,0.018840596030968992,-0.004328965895976311,-0.26,-0.29506769392627197,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,30.817613456903075,30.817613455933966,31.21019398300014,38.28126309563997,44.54546163669174,33.02753056266205,-0.020561249176914678,-0.025615058654899676,-0.02781617619109086,-0.030356755858549,-0.03329158722900229,-0.03666784979786897,-7,-6.5200004578,0.5,0.7288829163,5.515,0.26168416580000003,0.38830994760000004,0.7353535392,1.98
2023-09-26,3696600.0,-0.025039100273376635,-0.006220834041323786,-0.00924498380728822,-0.051169645275091824,-0.027027034357962054,0.018840596030968992,-0.26,-0.29030898689015844,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,28.000006538512523,30.817613456903075,30.817613455933966,31.21019398300014,38.28126309563997,44.54546163669174,-0.019264343981434718,-0.020561249176914678,-0.025615058654899676,-0.02781617619109086,-0.030356755858549,-0.03329158722900229,-9,-6.5200004578,0.5,0.5487630104,0.7288829163,5.515,0.26168416580000003,0.38830994760000004,0.7353535392
2023-09-27,4668933.333333333,0.019261618804489178,-0.025039100273376635,-0.006220834041323786,-0.00924498380728822,-0.051169645275091824,-0.027027034357962054,-0.26,-0.28570132903170803,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,33.333333331511824,28.000006538512523,30.817613456903075,30.817613455933966,31.21019398300014,38.28126309563997,-0.018112581675370724,-0.019264343981434718,-0.020561249176914678,-0.025615058654899676,-0.02781617619109086,-0.030356755858549,-14,-6.5200004578,0.5,0.4397949009,0.5487630104,0.7288829163,5.515,0.26168416580000003,0.38830994760000004
2023-09-28,4912850.0,0.029921269310208,0.019261618804489178,-0.025039100273376635,-0.006220834041323786,-0.00924498380728822,-0.051169645275091824,-0.26,-0.2812376411955207,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,41.45078053024188,33.333333331511824,28.000006538512523,30.817613456903075,30.817613455933966,31.21019398300014,-0.017084300480457542,-0.018112581675370724,-0.019264343981434718,-0.020561249176914678,-0.025615058654899676,-0.02781617619109086,-10,-6.5200004578,0.5,2.13,0.4397949009,0.5487630104,0.7288829163,5.515,0.26168416580000003
2023-09-29,4172200.0,0.022935794528797793,0.029921269310208,0.019261618804489178,-0.025039100273376635,-0.006220834041323786,-0.00924498380728822,-0.26,-0.27691127977073665,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,-0.8914977684617043,44.05941295247856,41.45078053024188,33.333333331511824,28.000006538512523,30.817613456903075,30.817613455933966,-0.016161644038126435,-0.017084300480457542,-0.018112581675370724,-0.019264343981434718,-0.020561249176914678,-0.025615058654899676,-10,-6.5200004578,0.5,5.975,2.13,0.4397949009,0.5487630104,0.7288829163,5.515
