Date,Volume,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS,surprise,Headline_score,Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI,RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow,InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment,Target,GradeChange,volOI,volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-22,9962900.0,-0.04712037471025565,-0.06372548907164133,-0.04225359046709387,-0.05333328248282698,0.05633797143018371,-0.009302316325115134,-0.1,0.12120122703637387,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,13.978485671982384,14.942518504687428,17.567556256022797,16.88310643379647,35.80246695595166,30.666669209244432,-0.01384044801395048,-0.0141145429,-0.02558800271953073,-0.02825722189525102,-0.031030011165063872,-0.03618690048,1,2.1400000572,-0.3225806452,2.22,1.6526885098,4.45,-0.6499336836,-1.75,-0.1953972045
2023-09-25,8411800.0,-0.038461566189786356,-0.04712037471025565,-0.06372548907164133,-0.04225359046709387,-0.05333328248282698,0.05633797143018371,-0.1,0.11362737320820425,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,13.402051979804412,13.978485671982384,14.942518504687428,17.567556256022797,16.88310643379647,35.80246695595166,-0.011021606310155576,-0.01384044801395048,-0.0141145429,-0.02558800271953073,-0.02825722189525102,-0.031030011165063872,1,2.1400000572,-0.3225806452,0.2934034586,2.22,1.6526885098,4.45,-0.6499336836,-1.75
2023-09-26,13615600.0,-0.08571427210631288,-0.038461566189786356,-0.04712037471025565,-0.06372548907164133,-0.04225359046709387,-0.05333328248282698,-0.1,0.11130879848697937,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,12.149523240543374,13.402051979804412,13.978485671982384,14.942518504687428,17.567556256022797,16.88310643379647,-0.009980488997938438,-0.011021606310155576,-0.01384044801395048,-0.0141145429,-0.02558800271953073,-0.02825722189525102,1,2.1400000572,-0.3225806452,2.15,0.2934034586,2.22,1.6526885098,4.45,-0.6499336836
2023-09-27,21518300.0,0.12499995344670789,-0.08571427210631288,-0.038461566189786356,-0.04712037471025565,-0.06372548907164133,-0.04225359046709387,-0.1,0.10908294631058828,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,27.499993545622672,12.149523240543374,13.402051979804412,13.978485671982384,14.942518504687428,17.567556256022797,-0.009035910172975047,-0.009980488997938438,-0.011021606310155576,-0.01384044801395048,-0.0141145429,-0.02558800271953073,3,2.1400000572,-0.3225806452,0.7984899542,2.15,0.2934034586,2.22,1.6526885098,4.45
2023-09-28,10076350.0,0.05000001987596914,0.12499995344670789,-0.08571427210631288,-0.038461566189786356,-0.04712037471025565,-0.06372548907164133,-0.1,0.10694436396790817,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,33.59999664691104,27.499993545622672,12.149523240543374,13.402051979804412,13.978485671982384,14.942518504687428,-0.008203911420366698,-0.009035910172975047,-0.009980488997938438,-0.011021606310155576,-0.01384044801395048,-0.0141145429,4,2.1400000572,-0.3225806452,0.7967214249983634,0.7984899542,2.15,0.2934034586,2.22,1.6526885098
2023-09-29,12946200.0,0.06349206649413386,0.05000001987596914,0.12499995344670789,-0.08571427210631288,-0.038461566189786356,-0.04712037471025565,-0.1,0.10488801804182979,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,0.9992312272079289,40.909088449379595,33.59999664691104,27.499993545622672,12.149523240543374,13.402051979804412,13.978485671982384,-0.00748069277562941,-0.008203911420366698,-0.009035910172975047,-0.009980488997938438,-0.011021606310155576,-0.01384044801395048,5,2.1400000572,-0.3225806452,0.7914855210178392,0.7967214249983634,0.7984899542,2.15,0.2934034586,2.22
