Date,Volume,Close,reportedEPS,surprise,Headline_score,RSI,InsiderFlow,sentiment,Target,GradeChange,volOI,Volume(t-1),Volume(t-2),Volume(t-3),Volume(t-4),Volume(t-5),Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),reportedEPS(t-1),reportedEPS(t-2),reportedEPS(t-3),reportedEPS(t-4),reportedEPS(t-5),surprise(t-1),surprise(t-2),surprise(t-3),surprise(t-4),surprise(t-5),Headline_score(t-1),Headline_score(t-2),Headline_score(t-3),Headline_score(t-4),Headline_score(t-5),RSI(t-1),RSI(t-2),RSI(t-3),RSI(t-4),RSI(t-5),InsiderFlow(t-1),InsiderFlow(t-2),InsiderFlow(t-3),InsiderFlow(t-4),InsiderFlow(t-5),sentiment(t-1),sentiment(t-2),sentiment(t-3),sentiment(t-4),sentiment(t-5),volOI(t-1),volOI(t-2),volOI(t-3),volOI(t-4),volOI(t-5)
2023-09-20,5374100.0,-0.001777818467881942,0.39,-0.04645503610055573,-0.037067716009914875,24.850160947093542,0.00859798706197942,-12,1.1800003052,0.0769230769,0.2692376214,4406300.0,6263800.0,16330200.0,7322400.0,8136461.4,0.0017809847370560128,-0.019213997444065378,-0.014629955075319168,0.022077650255940995,-0.018073425302407964,0.39,0.39,0.39,0.39,0.39,-0.04720424126833976,-0.047978007032411826,-0.05045936907150746,-0.05134452392788251,-0.05226128610920187,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.22628251183778048,-0.4154973076656461,27.758548103456476,27.463047205848426,33.105383638087616,39.00766730690565,29.2394408413264,0.008778896869176314,0.00896753742616391,0.009585101988272348,0.009810166113278524,0.01004597326652972,-7.0,-2.0,-2.0,-5.0,-1.0,0.2884537164,0.3106222254,0.4036771873,0.44844619760000004,0.5043699311000001
2023-09-21,5168300.0,-0.008014176543381435,0.39,-0.04572924045839166,-0.037067716009914875,17.39563353391445,0.008424344790091999,-18,1.1800003052,0.0769230769,-1.4,5374100.0,4406300.0,6263800.0,16330200.0,7322400.0,-0.001777818467881942,0.0017809847370560128,-0.019213997444065378,-0.014629955075319168,0.022077650255940995,0.39,0.39,0.39,0.39,0.39,-0.04645503610055573,-0.04720424126833976,-0.047978007032411826,-0.05045936907150746,-0.05134452392788251,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.22628251183778048,24.850160947093542,27.758548103456476,27.463047205848426,33.105383638087616,39.00766730690565,0.00859798706197942,0.008778896869176314,0.00896753742616391,0.009585101988272348,0.009810166113278524,-12.0,-7.0,-2.0,-2.0,-5.0,0.2692376214,0.2884537164,0.3106222254,0.4036771873,0.44844619760000004
2023-09-22,4850200.0,-0.002693059759507954,0.39,-0.04502577409072178,-0.037067716009914875,18.177454546503824,0.008257542931734732,-17,1.1800003052,0.0769230769,-0.5199469469,5168300.0,5374100.0,4406300.0,6263800.0,16330200.0,-0.008014176543381435,-0.001777818467881942,0.0017809847370560128,-0.019213997444065378,-0.014629955075319168,0.39,0.39,0.39,0.39,0.39,-0.04572924045839166,-0.04645503610055573,-0.04720424126833976,-0.047978007032411826,-0.05045936907150746,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,17.39563353391445,24.850160947093542,27.758548103456476,27.463047205848426,33.105383638087616,0.008424344790091999,0.00859798706197942,0.008778896869176314,0.00896753742616391,0.009585101988272348,-18.0,-12.0,-7.0,-2.0,-2.0,-1.4,0.2692376214,0.2884537164,0.3106222254,0.4036771873
2023-09-25,3435600.0,0.008100824065624401,0.39,-0.04303950109009193,-0.037067716009914875,22.669263655059282,0.007794380599683635,-17,1.1800003052,0.0769230769,-0.1393052066,4850200.0,5168300.0,5374100.0,4406300.0,6263800.0,-0.002693059759507954,-0.008014176543381435,-0.001777818467881942,0.0017809847370560128,-0.019213997444065378,0.39,0.39,0.39,0.39,0.39,-0.04502577409072178,-0.04572924045839166,-0.04645503610055573,-0.04720424126833976,-0.047978007032411826,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,18.177454546503824,17.39563353391445,24.850160947093542,27.758548103456476,27.463047205848426,0.008257542931734732,0.008424344790091999,0.00859798706197942,0.008778896869176314,0.00896753742616391,-17.0,-18.0,-12.0,-7.0,-2.0,-0.5199469469,-1.4,0.2692376214,0.2884537164,0.3106222254
2023-09-26,4055800.0,-0.012499945717197591,0.39,-0.04241578771319725,-0.037067716009914875,27.284955725189974,0.007651278659983841,-20,1.1800003052,0.0769230769,-0.1116433112,3435600.0,4850200.0,5168300.0,5374100.0,4406300.0,0.008100824065624401,-0.002693059759507954,-0.008014176543381435,-0.001777818467881942,0.0017809847370560128,0.39,0.39,0.39,0.39,0.39,-0.04303950109009193,-0.04502577409072178,-0.04572924045839166,-0.04645503610055573,-0.04720424126833976,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,22.669263655059282,18.177454546503824,17.39563353391445,24.850160947093542,27.758548103456476,0.007794380599683635,0.008257542931734732,0.008424344790091999,0.00859798706197942,0.008778896869176314,-17.0,-17.0,-18.0,-12.0,-7.0,-0.1393052066,-0.5199469469,-1.4,0.2692376214,0.2884537164
2023-09-27,5742100.0,-0.0063291723185089355,0.39,-0.041809892726027115,-0.037067716009914875,30.85164787943009,0.00751331525251793,-6,1.1800003052,0.0769230769,-0.0931266147,4055800.0,3435600.0,4850200.0,5168300.0,5374100.0,-0.012499945717197591,0.008100824065624401,-0.002693059759507954,-0.008014176543381435,-0.001777818467881942,0.39,0.39,0.39,0.39,0.39,-0.04241578771319725,-0.04303950109009193,-0.04502577409072178,-0.04572924045839166,-0.04645503610055573,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,-0.037067716009914875,27.284955725189974,22.669263655059282,18.177454546503824,17.39563353391445,24.850160947093542,0.007651278659983841,0.007794380599683635,0.008257542931734732,0.008424344790091999,0.00859798706197942,-20.0,-17.0,-17.0,-18.0,-12.0,-0.1116433112,-0.1393052066,-0.5199469469,-1.4,0.2692376214
