Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
BA,180.13,Call,212.5,2020-08-14,3,0.02,0.17,0.31,0.21,1838,116,15.84,97.72%,N/A,2020-08-11
RTX,64.26,Call,65,2020-08-14,3,0.52,0.54,0.55,0.56,19455,1250,15.56,37.58%,N/A,2020-08-11
JPM,103.82,Call,108,2020-08-14,3,0.24,0.28,0.31,0.28,8735,565,15.46,40.42%,N/A,2020-08-11
WCC,43.42,Put,35,2020-08-21,10,0.15,0.28,0.4,0.3,2065,134,15.41,100.89%,N/A,2020-08-11
AEO,11.56,Call,13,2020-09-18,38,0.6,0.65,0.7,0.66,3120,209,14.93,79.05%,N/A,2020-08-11
JPM,103.82,Call,107,2020-08-14,3,0.37,0.44,0.5,0.38,8681,585,14.84,37.87%,N/A,2020-08-11
EBAY,54.29,Call,54.5,2020-08-14,3,0.65,0.68,0.71,0.65,1949,133,14.65,38.01%,N/A,2020-08-11
AFL,38.03,Put,30,2020-11-20,101,0.6,0.7,0.8,0.65,18951,1304,14.53,45.23%,N/A,2020-08-11
CVE,5.05,Put,5,2021-01-15,157,0.8,0.85,0.9,0.81,5002,348,14.37,65.22%,N/A,2020-08-11
GOLD,26.48,Put,25.5,2020-08-21,10,0.53,0.58,0.63,0.61,4831,345,14,55.12%,N/A,2020-08-11
QCOM,108.83,Call,113,2020-08-14,3,0.54,0.72,0.9,0.54,4569,328,13.93,48.73%,N/A,2020-08-11
GS,211.06,Call,220,2020-08-14,3,0.46,0.46,0.47,0.46,22454,1629,13.78,39.15%,N/A,2020-08-11
TJX,57.51,Put,47.5,2020-09-18,38,0.35,0.45,0.55,0.4,2182,166,13.14,47.55%,N/A,2020-08-11
W,309.13,Put,300,2020-09-18,38,25.2,25.9,26.6,25.48,2166,165,13.13,76.80%,N/A,2020-08-11
INO,14.62,Put,12,2020-08-21,10,0.67,0.7,0.73,0.69,9971,763,13.07,193.47%,N/A,2020-08-11
AAL,13.73,Put,15,2020-09-18,38,2.45,2.49,2.53,2.48,5582,430,12.98,97.12%,N/A,2020-08-11
VXRT,10.15,Call,11.5,2020-08-14,3,0.75,0.95,1.15,0.75,1368,107,12.79,270.06%,N/A,2020-08-11
MRNA,68.97,Call,70,2020-08-14,3,1.01,1.36,1.7,1.5,3069,240,12.79,78.38%,N/A,2020-08-11
DISCK,20.73,Call,22.5,2020-12-18,129,1.2,1.48,1.75,1.8,4068,322,12.63,50.00%,N/A,2020-08-11
UBER,31.21,Put,31,2020-08-28,17,1.14,1.26,1.38,1.24,4379,347,12.62,50.50%,N/A,2020-08-11
STRL,15.06,Call,15,2020-12-18,129,2.25,2.3,2.35,2.35,2181,173,12.61,64.63%,N/A,2020-08-11
AMD,76.88,Call,79,2020-08-14,3,0.95,0.98,1,0.98,9055,734,12.34,65.53%,N/A,2020-08-11
JPM,103.82,Put,102,2020-08-14,3,0.54,0.63,0.71,0.66,2852,234,12.19,37.28%,N/A,2020-08-11
GSX,98.02,Call,130,2020-08-21,10,1.65,1.8,1.95,1.8,22486,1853,12.13,150.48%,N/A,2020-08-11
ZM,232.25,Put,220,2020-08-14,3,2.25,2.3,2.35,2.42,7767,644,12.06,79.86%,N/A,2020-08-11
GS,211.06,Call,222.5,2020-08-14,3,0.12,0.27,0.42,0.29,1752,150,11.68,41.20%,N/A,2020-08-11
