Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
SNAP,18.25,Call,18.5,2020-06-12,15,0.7,0.71,0.71,0.7,70113,205,342.01,54.81%,N/A,2020-05-28
SABR,7.38,Put,7.5,2020-06-19,22,0.7,0.73,0.75,0.75,54417,297,183.22,95.20%,N/A,2020-05-28
BABA,199.49,Call,310,2021-02-19,267,0.96,1.08,1.19,1.07,20284,147,137.99,29.23%,N/A,2020-05-28
DKNG,37.25,Call,50,2020-06-19,22,1.2,1.3,1.4,1.2,12016,101,118.97,125.42%,N/A,2020-05-28
COMM,10.42,Call,10,2020-06-19,22,1.1,1.13,1.15,1.13,54363,475,114.45,90.17%,N/A,2020-05-28
SNAP,18.25,Call,19.5,2020-06-12,15,0.3,0.33,0.37,0.34,19893,237,83.94,53.36%,N/A,2020-05-28
BABA,199.49,Call,260,2021-02-19,267,4.6,4.85,5.1,4.95,21038,364,57.8,30.10%,N/A,2020-05-28
TWTR,31.6,Put,33,2020-07-17,50,2.97,3.04,3.1,3.05,10239,200,51.2,48.82%,N/A,2020-05-28
SNAP,18.25,Call,19,2020-06-12,15,0.48,0.49,0.5,0.5,17801,361,49.31,54.27%,N/A,2020-05-28
EXPE,78.78,Call,110,2022-01-21,603,13,13.7,14.4,13.4,8992,217,41.44,54.19%,N/A,2020-05-28
BA,149.82,Put,150,2020-05-29,1,2.05,2.11,2.17,2.06,18129,447,40.56,62.99%,N/A,2020-05-28
DKNG,37.25,Put,36,2020-05-29,1,0.5,0.58,0.65,0.55,4429,111,39.9,138.69%,N/A,2020-05-28
TLRY,10.39,Put,7,2020-06-12,15,0.21,0.3,0.39,0.23,5107,165,30.95,183.17%,N/A,2020-05-28
LYFT,31.73,Put,26.5,2020-06-05,8,0.1,0.11,0.11,0.1,3034,102,29.75,80.88%,N/A,2020-05-28
MGM,17.23,Call,23,2020-06-12,15,0.15,0.19,0.22,0.17,2867,100,28.67,104.84%,N/A,2020-05-28
ARNA,55.75,Call,55,2020-07-17,50,4.15,5.08,6,5,2889,106,27.25,55.89%,N/A,2020-05-28
BA,149.82,Put,155,2020-05-29,1,5.5,5.6,5.7,5.64,6455,238,27.12,66.66%,N/A,2020-05-28
AGNC,13.09,Call,16,2021-01-15,232,0.35,0.38,0.41,0.36,3262,122,26.74,28.39%,N/A,2020-05-28
GE,6.78,Put,7,2020-12-18,204,1.28,1.31,1.33,1.29,43019,1614,26.65,59.47%,N/A,2020-05-28
INTC,61.7,Call,70,2020-06-12,15,0.1,0.11,0.12,0.11,7935,299,26.54,38.05%,N/A,2020-05-28
UAL,28.89,Put,28,2022-01-21,603,10.45,11.7,12.95,12.7,6501,245,26.53,99.91%,N/A,2020-05-28
PENN,31.58,Put,32,2020-05-29,1,1.15,1.2,1.25,1.2,8076,316,25.56,147.13%,N/A,2020-05-28
OXY,13.64,Put,9,2021-01-15,232,1.25,1.42,1.58,1.32,3230,127,25.43,90.53%,N/A,2020-05-28
BOX,19.49,Call,22,2020-07-17,50,0.55,0.63,0.7,0.65,8320,334,24.91,52.02%,N/A,2020-05-28
SKX,31.61,Call,40,2020-07-17,50,0.45,0.48,0.5,0.46,9865,397,24.85,55.34%,N/A,2020-05-28
PENN,31.58,Call,45,2020-07-17,50,0.6,0.65,0.7,0.64,10445,434,24.07,80.19%,N/A,2020-05-28
TLRY,10.39,Put,9,2020-06-12,15,0.71,0.82,0.93,0.74,5081,216,23.52,169.81%,N/A,2020-05-28
DKNG,37.25,Put,35,2020-05-29,1,0.25,0.3,0.35,0.3,6792,290,23.42,141.81%,N/A,2020-05-28
HLT,80.62,Put,60,2020-10-16,141,2.5,2.68,2.85,2.7,9420,423,22.27,57.19%,N/A,2020-05-28
CGC,21.72,Call,23,2020-05-29,1,0.75,0.83,0.9,0.88,2182,101,21.6,306.56%,N/A,2020-05-28
