Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
MCRB,22.7,Put,7.5,2020-08-21,11,0.3,0.32,0.35,0.3,17420,103,169.13,436.52%,N/A,2020-08-10
MT,12.28,Call,12.5,2020-08-21,11,0.37,0.38,0.39,0.38,44880,270,166.22,55.97%,N/A,2020-08-10
MGM,21.65,Put,21,2020-08-14,4,0.45,0.46,0.48,0.44,10113,118,85.7,80.86%,N/A,2020-08-10
ZEN,87.26,Call,90,2020-10-16,67,5,5.15,5.3,5.15,9502,112,84.84,41.94%,N/A,2020-08-10
FDX,199.98,Call,200,2020-08-14,4,3.7,3.8,3.9,3.86,10335,158,65.41,46.18%,N/A,2020-08-10
KODK,10.73,Call,11,2020-08-14,4,1.35,1.4,1.45,1.39,5794,102,56.8,336.86%,N/A,2020-08-10
GM,27.98,Call,29.5,2020-08-28,18,0.46,0.52,0.57,0.47,11385,224,50.83,41.48%,N/A,2020-08-10
NKLA,44.81,Call,48,2020-08-14,4,1.4,1.45,1.5,1.5,7690,153,50.26,145.17%,N/A,2020-08-10
UPS,159.59,Call,170,2020-08-14,4,0.31,0.4,0.48,0.31,6103,141,43.28,44.45%,N/A,2020-08-10
FDX,199.98,Call,220,2020-09-18,39,4.55,4.85,5.15,4.55,5401,126,42.87,43.56%,N/A,2020-08-10
CRM,197.16,Call,230,2021-02-19,193,10.15,10.73,11.3,10.66,8105,192,42.21,37.45%,N/A,2020-08-10
C,52.86,Put,52,2020-08-14,4,0.43,0.45,0.47,0.46,8959,221,40.54,37.54%,N/A,2020-08-10
CRM,197.16,Call,210,2021-02-19,193,16.7,17.35,18,17.3,8109,214,37.89,38.48%,N/A,2020-08-10
VSTO,22.24,Call,25,2020-11-20,102,2.3,2.47,2.65,2.42,5169,137,37.73,72.92%,N/A,2020-08-10
GM,27.98,Call,28,2020-08-28,18,0.96,1.01,1.05,1.01,13626,383,35.58,40.81%,N/A,2020-08-10
NKLA,44.81,Call,44,2020-08-14,4,2.95,3.03,3.1,3,11167,316,35.34,138.79%,N/A,2020-08-10
MU,49.15,Call,49.5,2020-08-14,4,0.65,0.67,0.69,0.68,37627,1101,34.18,40.81%,N/A,2020-08-10
RTX,64.23,Call,62,2020-08-14,4,2.18,2.32,2.45,2.39,11488,352,32.64,31.62%,N/A,2020-08-10
XOM,44.51,Put,44,2020-08-14,4,0.68,0.74,0.79,0.72,8698,282,30.84,51.73%,N/A,2020-08-10
FISV,99.34,Call,100,2020-10-16,67,5.4,5.7,6,5.84,4112,136,30.24,35.61%,N/A,2020-08-10
SRNE,18.82,Call,25,2020-08-21,11,1.35,1.45,1.55,1.38,5504,183,30.08,245.31%,N/A,2020-08-10
FB,263,Call,310,2020-12-18,130,10.3,10.53,10.75,10.5,6803,227,29.97,40.60%,N/A,2020-08-10
NKE,105.41,Call,108,2020-08-14,4,0.38,0.41,0.44,0.4,4327,149,29.04,29.22%,N/A,2020-08-10
FB,263,Call,285,2021-03-19,221,24,24.45,24.9,24.43,6505,229,28.41,39.62%,N/A,2020-08-10
UAL,37.54,Put,36,2020-08-14,4,0.67,0.69,0.7,0.68,3576,127,28.16,85.36%,N/A,2020-08-10
LYFT,31.05,Put,32.5,2020-09-18,39,3.7,3.83,3.95,3.68,11030,399,27.64,70.76%,N/A,2020-08-10
DX,15.58,Put,15,2020-09-18,39,0.55,0.8,1.05,0.6,3004,109,27.56,43.56%,N/A,2020-08-10
KODK,10.73,Call,12,2020-08-14,4,1,1.05,1.1,1.02,3959,146,27.12,333.57%,N/A,2020-08-10
NKLA,44.81,Call,45,2020-08-14,4,2.4,2.5,2.6,2.55,33399,1265,26.4,140.96%,N/A,2020-08-10
PRU,69.54,Call,75,2021-03-19,221,4.9,5.25,5.6,5,2917,111,26.28,32.24%,N/A,2020-08-10
DX,15.58,Call,15,2020-09-18,39,1.05,1.18,1.3,1.2,3009,125,24.07,43.56%,N/A,2020-08-10
NKLA,44.81,Call,43,2020-08-14,4,3.4,3.5,3.6,3.52,8126,341,23.83,136.93%,N/A,2020-08-10
WORK,28.12,Put,26,2020-08-28,18,0.52,0.54,0.57,0.55,3332,141,23.63,56.79%,N/A,2020-08-10
EB,9.8,Put,7.5,2020-10-16,67,0.4,0.48,0.55,0.45,8025,344,23.33,88.47%,N/A,2020-08-10
NTNX,22.52,Call,24,2020-08-21,11,0.52,0.53,0.54,0.5,6035,261,23.12,67.11%,N/A,2020-08-10
CAT,142.02,Call,142,2020-08-14,4,1.92,1.96,2,1.99,2297,100,22.97,33.22%,N/A,2020-08-10
MTG,8.99,Call,9,2020-09-18,39,0.55,0.63,0.7,0.6,10747,471,22.82,51.16%,N/A,2020-08-10
SNAP,22.02,Call,23.5,2020-08-28,18,0.66,0.67,0.68,0.67,10620,470,22.6,63.11%,N/A,2020-08-10
AIG,31.46,Put,31,2020-08-14,4,0.37,0.4,0.42,0.38,8876,396,22.41,44.70%,N/A,2020-08-10
SRNE,18.82,Call,25,2020-12-18,130,6.3,6.55,6.8,6.45,5892,266,22.15,186.51%,N/A,2020-08-10
MGM,21.65,Call,23,2020-08-14,4,0.35,0.37,0.38,0.38,7003,323,21.68,96.30%,N/A,2020-08-10
DAL,29.34,Call,36,2020-10-16,67,1.2,1.4,1.59,1.45,3330,155,21.48,70.16%,N/A,2020-08-10
