Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
UA,18.46,Call,18.5,2021-04-16,16,0.7,0.73,0.75,0.74,35763,132,270.93,49.23%,N/A,2021-03-31
WDC,66.75,Call,67.5,2021-07-16,107,6.8,6.85,6.9,6.9,15510,121,128.18,50.28%,N/A,2021-03-31
APHA,18.37,Put,18,2021-05-21,51,2.92,2.99,3.05,2.92,10089,106,95.18,115.27%,N/A,2021-03-31
MARA,48.02,Put,50,2021-04-16,16,6.7,6.8,6.9,6.78,8496,102,83.29,140.67%,N/A,2021-03-31
ZTO,29.15,Call,30,2021-05-21,51,1.45,1.5,1.55,1.55,7479,101,74.05,44.16%,N/A,2021-03-31
UBER,54.51,Call,61.5,2021-04-30,30,0.67,0.71,0.74,0.7,6577,111,59.25,44.95%,N/A,2021-03-31
FCX,32.93,Call,39,2021-06-18,79,1.19,1.21,1.23,1.23,10596,179,59.2,51.90%,N/A,2021-03-31
TSM,118.28,Call,126,2021-04-16,16,1.28,1.29,1.29,1.27,10462,237,44.14,39.59%,N/A,2021-03-31
MARA,48.02,Put,45,2021-04-16,16,3.85,3.95,4.05,3.97,9064,225,40.28,138.13%,N/A,2021-03-31
DHI,89.12,Call,105,2021-05-21,51,0.55,0.66,0.76,0.66,6701,169,39.65,35.56%,N/A,2021-03-31
UA,18.46,Call,18,2021-04-16,16,1,1.05,1.1,1.05,21979,557,39.46,52.48%,N/A,2021-03-31
FCX,32.93,Call,42,2021-06-18,79,0.71,0.76,0.8,0.72,9240,239,38.66,51.56%,N/A,2021-03-31
VRTX,214.89,Put,185,2021-05-21,51,2.2,3.05,3.9,2.9,4020,105,38.29,42.32%,N/A,2021-03-31
CHPT,26.7,Call,27,2021-04-01,1,0.7,0.76,0.82,0.82,9117,248,36.76,171.75%,N/A,2021-03-31
SQ,227.05,Put,227.5,2021-04-01,1,2.83,2.97,3.1,3,5876,163,36.05,58.36%,N/A,2021-03-31
EVR,131.74,Call,145,2021-06-18,79,4.3,4.5,4.7,4.45,3043,103,29.54,38.41%,N/A,2021-03-31
GOGO,9.66,Call,11,2021-04-16,16,0.25,0.28,0.3,0.27,51003,1768,28.85,88.23%,N/A,2021-03-31
XPEV,36.51,Call,42,2021-04-16,16,0.64,0.67,0.69,0.61,4821,179,26.93,76.78%,N/A,2021-03-31
MCD,224.14,Put,225,2021-04-09,9,2.35,2.61,2.87,2.49,3200,119,26.89,13.94%,N/A,2021-03-31
APHA,18.37,Call,18,2021-05-21,51,3.15,3.33,3.5,3.25,10127,380,26.65,113.75%,N/A,2021-03-31
TSLA,667.93,Put,662.5,2021-04-01,1,6.1,6.43,6.75,6.53,3746,146,25.66,64.69%,N/A,2021-03-31
PG,135.43,Call,150,2021-08-20,142,1.2,1.42,1.64,1.4,2928,115,25.46,18.13%,N/A,2021-03-31
FCX,32.93,Call,36,2021-06-18,79,1.93,1.98,2.04,2,6219,254,24.48,51.92%,N/A,2021-03-31
CHPT,26.7,Call,26,2021-04-01,1,1.03,1.16,1.29,1.15,12029,497,24.2,136.07%,N/A,2021-03-31
CLF,20.11,Call,20.5,2021-04-01,1,0.26,0.28,0.29,0.28,3580,151,23.71,105.74%,N/A,2021-03-31
EBAY,61.24,Put,56.5,2021-04-16,16,0.19,0.21,0.22,0.21,2498,108,23.13,31.44%,N/A,2021-03-31
LULU,306.71,Call,310,2021-04-01,1,1.42,1.66,1.9,1.77,3675,159,23.11,48.84%,N/A,2021-03-31
CHPT,26.7,Call,27.5,2021-04-01,1,0.66,0.69,0.72,0.69,2662,122,21.82,184.13%,N/A,2021-03-31
TSLA,667.93,Put,660,2021-04-01,1,5.4,5.5,5.6,5.61,19856,915,21.7,64.27%,N/A,2021-03-31
TSLA,667.93,Put,657.5,2021-04-01,1,4.45,4.73,5,4.77,2809,135,20.81,65.37%,N/A,2021-03-31
MCD,224.14,Put,217.5,2021-04-09,9,0.35,0.44,0.52,0.43,3011,149,20.21,17.40%,N/A,2021-03-31
ELY,26.75,Call,35,2023-01-20,660,4.9,5,5.1,4.9,3002,150,20.01,51.92%,N/A,2021-03-31
BABA,226.73,Put,80,2022-01-21,296,0.79,0.85,0.91,0.85,4021,202,19.91,61.62%,N/A,2021-03-31
ON,41.61,Call,40,2021-05-21,51,3.8,3.9,4,3.9,8544,432,19.78,49.82%,N/A,2021-03-31
SQ,227.05,Put,220,2021-04-01,1,0.65,0.69,0.72,0.73,9687,495,19.57,63.63%,N/A,2021-03-31
