Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
DLO,9.97,Call,15,2023-08-18,72,0.35,0.38,0.4,0.4,43670,205,213.02,89.75%,0.212014,2023-06-06
COIN,51.61,Call,50,2023-06-09,2,3.2,3.25,3.3,3.25,11631,102,114.03,156.71%,0.630679,2023-06-06
TWOU,4.58,Call,5,2023-10-20,135,0.8,0.85,0.9,0.85,13181,159,82.9,88.18%,0.556629,2023-06-06
DKS,134.47,Put,120,2023-08-18,72,2.3,2.4,2.5,2.35,15419,194,79.48,34.23%,-0.193456,2023-06-06
DKS,134.47,Put,130,2023-08-18,72,5,5.15,5.3,5.1,7736,129,59.97,31.86%,-0.363394,2023-06-06
RTX,97.44,Call,100,2023-06-23,16,0.54,0.57,0.6,0.56,13076,266,49.16,17.83%,0.259669,2023-06-06
ORCL,107.1,Call,115,2023-06-30,23,1.12,1.16,1.2,1.18,9417,197,47.8,34.69%,0.227587,2023-06-06
MVIS,6.95,Call,8,2023-06-09,2,0.26,0.27,0.28,0.27,7231,166,43.56,303.36%,0.303927,2023-06-06
LYFT,10.34,Put,10,2023-06-09,2,0.1,0.11,0.11,0.11,5494,127,43.26,81.26%,-0.277581,2023-06-06
EDIT,10.25,Put,10,2023-06-16,9,0.65,0.7,0.75,0.7,4721,120,39.34,130.22%,-0.409819,2023-06-06
COIN,51.61,Call,55,2023-06-09,2,0.96,0.97,0.98,0.97,17150,476,36.03,144.30%,0.294718,2023-06-06
AI,38.19,Call,39,2023-06-16,9,2.6,2.65,2.7,2.65,4121,115,35.83,125.00%,0.499039,2023-06-06
DBI,6.77,Put,6,2023-06-16,9,0.25,0.28,0.3,0.29,8203,245,33.48,150.32%,-0.263664,2023-06-06
GOOG,127.91,Call,134,2023-07-07,30,1.23,1.63,2.02,1.46,3854,116,33.22,23.81%,0.279649,2023-06-06
VALE,13.74,Call,14,2023-06-30,23,0.36,0.4,0.43,0.42,5407,165,32.77,39.11%,0.441289,2023-06-06
ESMT,19.45,Call,20,2023-07-21,44,0.8,0.9,1,0.85,4584,140,32.74,38.51%,0.462511,2023-06-06
M,15.9,Call,18,2023-11-17,164,1.3,1.32,1.33,1.33,10259,317,32.36,49.09%,0.41644,2023-06-06
COIN,51.61,Call,52,2023-06-09,2,2.12,2.14,2.15,2.15,7462,245,30.46,152.61%,0.496925,2023-06-06
USB,32.63,Put,22.5,2023-12-15,192,0.95,1,1.05,1,4888,163,29.99,55.15%,-0.126872,2023-06-06
